year,quarter,level,region,category,type,count,amount
2020,2,country,india,Insurance,TOTAL,185348,33732166.0
2020,3,country,india,Insurance,TOTAL,354284,89495076.0
2020,4,country,india,Insurance,TOTAL,248626,170979933.0
2021,1,country,india,Insurance,TOTAL,318119,206307024.0
2021,2,country,india,Insurance,TOTAL,363989,295066678.0
2021,3,country,india,Insurance,TOTAL,374867,342403352.0
2021,4,country,india,Insurance,TOTAL,526327,655431877.0
2022,1,country,india,Insurance,TOTAL,617606,887447241.0
2022,2,country,india,Insurance,TOTAL,630758,857034846.0
2022,3,country,india,Insurance,TOTAL,806491,1054717869.0
2022,4,country,india,Insurance,TOTAL,1035364,1439762739.0
2023,1,country,india,Insurance,TOTAL,923173,1408801224.0
2023,2,country,india,Insurance,TOTAL,893850,1347399873.0
2023,3,country,india,Insurance,TOTAL,1010211,1445234680.0
2023,4,country,india,Insurance,TOTAL,1159063,1855299766.0
2024,1,country,india,Insurance,TOTAL,1273789,1931955654.0
2024,2,country,india,Insurance,TOTAL,1105041,1759627894.0
2024,3,country,india,Insurance,TOTAL,1213629,1941265641.0
2024,4,country,india,Insurance,TOTAL,1475429,2293956286.0
2020,2,state,Andaman & Nicobar Islands,Insurance,TOTAL,6,1360.0
2020,3,state,Andaman & Nicobar Islands,Insurance,TOTAL,41,15380.0
2020,4,state,Andaman & Nicobar Islands,Insurance,TOTAL,124,157975.0
2021,1,state,Andaman & Nicobar Islands,Insurance,TOTAL,225,244266.0
2021,2,state,Andaman & Nicobar Islands,Insurance,TOTAL,137,181504.0
2021,3,state,Andaman & Nicobar Islands,Insurance,TOTAL,230,305235.0
2021,4,state,Andaman & Nicobar Islands,Insurance,TOTAL,757,1056380.0
2022,1,state,Andaman & Nicobar Islands,Insurance,TOTAL,768,1131287.0
2022,2,state,Andaman & Nicobar Islands,Insurance,TOTAL,501,779740.0
2022,3,state,Andaman & Nicobar Islands,Insurance,TOTAL,643,902466.0
2022,4,state,Andaman & Nicobar Islands,Insurance,TOTAL,901,1441210.0
2023,1,state,Andaman & Nicobar Islands,Insurance,TOTAL,1004,1439198.0
2023,2,state,Andaman & Nicobar Islands,Insurance,TOTAL,768,1233395.0
2023,3,state,Andaman & Nicobar Islands,Insurance,TOTAL,795,1251145.0
2023,4,state,Andaman & Nicobar Islands,Insurance,TOTAL,1145,1757821.0
2024,1,state,Andaman & Nicobar Islands,Insurance,TOTAL,1371,1964556.0
2024,2,state,Andaman & Nicobar Islands,Insurance,TOTAL,1097,1744694.0
2024,3,state,Andaman & Nicobar Islands,Insurance,TOTAL,1191,1752800.0
2024,4,state,Andaman & Nicobar Islands,Insurance,TOTAL,1293,2026380.0
2020,2,state,Andhra Pradesh,Insurance,TOTAL,22104,3982391.0
2020,3,state,Andhra Pradesh,Insurance,TOTAL,49812,12426481.0
2020,4,state,Andhra Pradesh,Insurance,TOTAL,21464,12985632.0
2021,1,state,Andhra Pradesh,Insurance,TOTAL,22105,12749874.0
2021,2,state,Andhra Pradesh,Insurance,TOTAL,33205,22730687.0
2021,3,state,Andhra Pradesh,Insurance,TOTAL,23075,19914338.0
2021,4,state,Andhra Pradesh,Insurance,TOTAL,25423,31610335.0
2022,1,state,Andhra Pradesh,Insurance,TOTAL,29954,42648157.0
2022,2,state,Andhra Pradesh,Insurance,TOTAL,32185,41708072.0
2022,3,state,Andhra Pradesh,Insurance,TOTAL,39301,48791931.0
2022,4,state,Andhra Pradesh,Insurance,TOTAL,44329,58043239.0
2023,1,state,Andhra Pradesh,Insurance,TOTAL,34920,51963355.0
2023,2,state,Andhra Pradesh,Insurance,TOTAL,36376,52067478.0
2023,3,state,Andhra Pradesh,Insurance,TOTAL,43150,57802396.0
2023,4,state,Andhra Pradesh,Insurance,TOTAL,41798,62342423.0
2024,1,state,Andhra Pradesh,Insurance,TOTAL,46582,63563802.0
2024,2,state,Andhra Pradesh,Insurance,TOTAL,42547,62948281.0
2024,3,state,Andhra Pradesh,Insurance,TOTAL,48014,73915199.0
2024,4,state,Andhra Pradesh,Insurance,TOTAL,61425,80028914.0
2020,2,state,Arunachal Pradesh,Insurance,TOTAL,65,14329.0
2020,3,state,Arunachal Pradesh,Insurance,TOTAL,135,39687.0
2020,4,state,Arunachal Pradesh,Insurance,TOTAL,125,84247.0
2021,1,state,Arunachal Pradesh,Insurance,TOTAL,194,131611.0
2021,2,state,Arunachal Pradesh,Insurance,TOTAL,204,224928.0
2021,3,state,Arunachal Pradesh,Insurance,TOTAL,212,371051.0
2021,4,state,Arunachal Pradesh,Insurance,TOTAL,320,598459.0
2022,1,state,Arunachal Pradesh,Insurance,TOTAL,355,894107.0
2022,2,state,Arunachal Pradesh,Insurance,TOTAL,564,1360231.0
2022,3,state,Arunachal Pradesh,Insurance,TOTAL,510,1300304.0
2022,4,state,Arunachal Pradesh,Insurance,TOTAL,613,1464572.0
2023,1,state,Arunachal Pradesh,Insurance,TOTAL,606,1747475.0
2023,2,state,Arunachal Pradesh,Insurance,TOTAL,696,2095988.0
2023,3,state,Arunachal Pradesh,Insurance,TOTAL,718,1904786.0
2023,4,state,Arunachal Pradesh,Insurance,TOTAL,809,2105408.0
2024,1,state,Arunachal Pradesh,Insurance,TOTAL,1100,2419700.0
2024,2,state,Arunachal Pradesh,Insurance,TOTAL,1147,2353015.0
2024,3,state,Arunachal Pradesh,Insurance,TOTAL,842,1951385.0
2024,4,state,Arunachal Pradesh,Insurance,TOTAL,999,2359472.0
2020,2,state,Assam,Insurance,TOTAL,978,210034.0
2020,3,state,Assam,Insurance,TOTAL,2206,599450.0
2020,4,state,Assam,Insurance,TOTAL,2413,1806801.0
2021,1,state,Assam,Insurance,TOTAL,3167,2334419.0
2021,2,state,Assam,Insurance,TOTAL,3265,3008122.0
2021,3,state,Assam,Insurance,TOTAL,4495,6010865.0
2021,4,state,Assam,Insurance,TOTAL,8622,13962068.0
2022,1,state,Assam,Insurance,TOTAL,16230,27447766.0
2022,2,state,Assam,Insurance,TOTAL,9228,15357811.0
2022,3,state,Assam,Insurance,TOTAL,14149,22543564.0
2022,4,state,Assam,Insurance,TOTAL,18826,29239168.0
2023,1,state,Assam,Insurance,TOTAL,22100,36963888.0
2023,2,state,Assam,Insurance,TOTAL,16475,28368139.0
2023,3,state,Assam,Insurance,TOTAL,22593,35618158.0
2023,4,state,Assam,Insurance,TOTAL,23168,38731734.0
2024,1,state,Assam,Insurance,TOTAL,33097,48107248.0
2024,2,state,Assam,Insurance,TOTAL,22368,34796603.0
2024,3,state,Assam,Insurance,TOTAL,17633,31388971.0
2024,4,state,Assam,Insurance,TOTAL,21805,35336229.0
