year,quarter,level,region,device,count
2020,1,country,india,Xiaomi,51004503
2020,1,country,india,Samsung,39560399
2020,1,country,india,Vivo,33573609
2020,1,country,india,Oppo,23375458
2020,1,country,india,Realme,10582375
2020,1,country,india,Apple,5755009
2020,1,country,india,Motorola,4756036
2020,1,country,india,OnePlus,4027133
2020,1,country,india,Huawei,3850925
2020,1,country,india,Lenovo,3276777
2020,1,country,india,Others,17812940
2020,2,country,india,Xiaomi,56202867
2020,2,country,india,Samsung,43708551
2020,2,country,india,Vivo,38093292
2020,2,country,india,Oppo,26438928
2020,2,country,india,Realme,12034857
2020,2,country,india,Apple,6099798
2020,2,country,india,Motorola,5066664
2020,2,country,india,Huawei,4210805
2020,2,country,india,OnePlus,4176941
2020,2,country,india,Lenovo,3472895
2020,2,country,india,Others,19490728
2020,3,country,india,Xiaomi,61383234
2020,3,country,india,Samsung,48012276
2020,3,country,india,Vivo,43182078
2020,3,country,india,Oppo,29530065
2020,3,country,india,Realme,13737667
2020,3,country,india,Apple,6523683
2020,3,country,india,Motorola,5363550
2020,3,country,india,Huawei,4565437
2020,3,country,india,OnePlus,4382412
2020,3,country,india,Lenovo,3679349
2020,3,country,india,Others,20809932
2020,4,country,india,Xiaomi,66711711
2020,4,country,india,Samsung,52578970
2020,4,country,india,Vivo,48210115
2020,4,country,india,Oppo,32684041
2020,4,country,india,Realme,15590747
2020,4,country,india,Apple,7052763
2020,4,country,india,Motorola,5650618
2020,4,country,india,Huawei,4915828
2020,4,country,india,OnePlus,4621214
2020,4,country,india,Lenovo,3880170
2020,4,country,india,Others,22375116
2021,1,country,india,Xiaomi,71553154
2021,1,country,india,Samsung,56154585
2021,1,country,india,Vivo,53341749
2021,1,country,india,Oppo,35512326
2021,1,country,india,Realme,17541519
2021,1,country,india,Apple,7576154
2021,1,country,india,Motorola,5792974
2021,1,country,india,Huawei,5145488
2021,1,country,india,OnePlus,4895538
2021,1,country,india,Lenovo,3907304
2021,1,country,india,Others,23564639
2021,2,country,india,Xiaomi,75948492
2021,2,country,india,Samsung,59144667
2021,2,country,india,Vivo,58646521
2021,2,country,india,Oppo,38402777
2021,2,country,india,Realme,20619455
2021,2,country,india,Apple,8143414
2021,2,country,india,Motorola,5744294
2021,2,country,india,OnePlus,5365636
2021,2,country,india,Huawei,5068955
2021,2,country,india,Lenovo,3768280
2021,2,country,india,Others,24405595
2021,3,country,india,Xiaomi,80749587
2021,3,country,india,Vivo,65338474
2021,3,country,india,Samsung,61299387
2021,3,country,india,Oppo,42064749
2021,3,country,india,Realme,24185973
2021,3,country,india,Apple,8753177
2021,3,country,india,OnePlus,6266945
2021,3,country,india,Motorola,5650891
2021,3,country,india,Huawei,5126319
2021,3,country,india,Lenovo,3585329
