year,quarter,level,region,type,count,amount
2020,2,state,Puducherry,TOTAL,112,22251.0
2020,2,state,Tamil Nadu,TOTAL,5473,1075552.0
2020,2,state,Uttar Pradesh,TOTAL,9884,1912266.0
2020,2,state,Madhya Pradesh,TOTAL,6283,1198701.0
2020,2,state,Andhra Pradesh,TOTAL,22104,3982391.0
2020,2,state,Tripura,TOTAL,88,22054.0
2020,2,state,Manipur,TOTAL,55,12554.0
2020,2,state,Maharashtra,TOTAL,39836,6879717.0
2020,2,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,651,101029.0
2020,2,state,Meghalaya,TOTAL,41,8829.0
2020,2,state,Andaman & Nicobar Islands,TOTAL,6,1360.0
2020,2,state,Haryana,TOTAL,6321,1179814.0
2020,2,state,Rajasthan,TOTAL,5373,1095933.0
2020,2,state,Ladakh,TOTAL,14,2538.0
2020,2,state,Punjab,TOTAL,2036,399452.0
2020,2,state,Assam,TOTAL,978,210034.0
2020,2,state,Jharkhand,TOTAL,2063,405031.0
2020,2,state,Odisha,TOTAL,2981,615193.0
2020,2,state,Bihar,TOTAL,2816,595621.0
2020,2,state,Kerala,TOTAL,1588,360216.0
2020,2,state,Karnataka,TOTAL,27358,4794150.0
2020,2,state,Chandigarh,TOTAL,149,29537.0
2020,2,state,Telangana,TOTAL,19003,3419453.0
2020,2,state,Himachal Pradesh,TOTAL,392,77936.0
2020,2,state,West Bengal,TOTAL,7619,1432764.0
2020,2,state,Gujarat,TOTAL,7697,1430591.0
2020,2,state,Sikkim,TOTAL,21,4789.0
2020,2,state,Nagaland,TOTAL,41,9791.0
2020,2,state,Mizoram,TOTAL,31,7322.0
2020,2,state,Chhattisgarh,TOTAL,1346,279005.0
2020,2,state,Jammu & Kashmir,TOTAL,206,48484.0
2020,2,state,Goa,TOTAL,341,71100.0
2020,2,state,Arunachal Pradesh,TOTAL,65,14329.0
2020,2,state,Delhi,TOTAL,11716,1897480.0
2020,2,state,Uttarakhand,TOTAL,660,134899.0
2020,3,state,Puducherry,TOTAL,191,58399.0
2020,3,state,Tamil Nadu,TOTAL,8026,2257373.0
2020,3,state,Uttar Pradesh,TOTAL,18131,4436969.0
2020,3,state,Madhya Pradesh,TOTAL,14476,3496126.0
2020,3,state,Andhra Pradesh,TOTAL,49812,12426481.0
2020,3,state,Tripura,TOTAL,249,61642.0
2020,3,state,Lakshadweep,TOTAL,4,1199.0
2020,3,state,Manipur,TOTAL,134,45164.0
2020,3,state,Maharashtra,TOTAL,71662,19230156.0
2020,3,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,257,65504.0
2020,3,state,Meghalaya,TOTAL,112,33615.0
2020,3,state,Andaman & Nicobar Islands,TOTAL,41,15380.0
2020,3,state,Haryana,TOTAL,7139,1884868.0
2020,3,state,Rajasthan,TOTAL,15235,3758527.0
2020,3,state,Ladakh,TOTAL,33,10260.0
2020,3,state,Punjab,TOTAL,2488,684753.0
2020,3,state,Assam,TOTAL,2206,599450.0
2020,3,state,Jharkhand,TOTAL,5368,1349934.0
2020,3,state,Odisha,TOTAL,10955,2640191.0
2020,3,state,Bihar,TOTAL,9733,2161102.0
2020,3,state,Kerala,TOTAL,8811,2830361.0
2020,3,state,Karnataka,TOTAL,53701,12407394.0
2020,3,state,Chandigarh,TOTAL,264,70969.0
2020,3,state,Telangana,TOTAL,34395,8406543.0
2020,3,state,Himachal Pradesh,TOTAL,531,165559.0
2020,3,state,West Bengal,TOTAL,12596,2878482.0
2020,3,state,Gujarat,TOTAL,12525,3335812.0
2020,3,state,Sikkim,TOTAL,94,28000.0
2020,3,state,Nagaland,TOTAL,89,20798.0
2020,3,state,Mizoram,TOTAL,74,24691.0
2020,3,state,Chhattisgarh,TOTAL,4702,1393656.0
2020,3,state,Jammu & Kashmir,TOTAL,441,133339.0
2020,3,state,Goa,TOTAL,683,196864.0
2020,3,state,Arunachal Pradesh,TOTAL,135,39687.0
2020,3,state,Delhi,TOTAL,7588,1927285.0
2020,3,state,Uttarakhand,TOTAL,1403,418543.0
2020,4,state,Puducherry,TOTAL,234,197955.0
2020,4,state,Tamil Nadu,TOTAL,10290,8993575.0
2020,4,state,Uttar Pradesh,TOTAL,17470,14180417.0
2020,4,state,Madhya Pradesh,TOTAL,10653,4897124.0
2020,4,state,Andhra Pradesh,TOTAL,21464,12985632.0
2020,4,state,Tripura,TOTAL,244,149765.0
2020,4,state,Manipur,TOTAL,90,49057.0
2020,4,state,Maharashtra,TOTAL,44798,27113814.0
2020,4,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,232,149513.0
