year,quarter,level,region,registered_users,app_opens
2020,1,state,Puducherry,230908,3820943
2020,1,state,Tamil Nadu,10872368,179908753
2020,1,state,Uttar Pradesh,20136256,374282083
2020,1,state,Madhya Pradesh,10151371,262452480
2020,1,state,Andhra Pradesh,13022060,486513773
2020,1,state,Tripura,299962,4063223
2020,1,state,Lakshadweep,2772,21982
2020,1,state,Manipur,177374,2175642
2020,1,state,Maharashtra,26168390,615146568
2020,1,state,Dadra & Nagar Haveli & Daman & Diu,218496,4195122
2020,1,state,Meghalaya,113814,1716211
2020,1,state,Andaman & Nicobar Islands,28368,193586
2020,1,state,Haryana,7018770,157793468
2020,1,state,Rajasthan,12142053,341815756
2020,1,state,Ladakh,47790,590484
2020,1,state,Punjab,3739502,53853710
2020,1,state,Assam,2185938,33097892
2020,1,state,Jharkhand,3651393,74014713
2020,1,state,Odisha,6652970,175918622
2020,1,state,Bihar,9351234,183868505
2020,1,state,Kerala,4078316,46396398
2020,1,state,Karnataka,17016980,626488036
2020,1,state,Chandigarh,312887,5201211
2020,1,state,Telangana,12306860,454723816
2020,1,state,Himachal Pradesh,1106025,14640104
2020,1,state,West Bengal,11960822,207068218
2020,1,state,Gujarat,10259843,165605122
2020,1,state,Sikkim,104631,1697163
2020,1,state,Nagaland,107143,1684520
2020,1,state,Mizoram,46499,644683
2020,1,state,Chhattisgarh,3016487,64224101
2020,1,state,Jammu & Kashmir,735408,4476894
2020,1,state,Goa,391900,7147233
2020,1,state,Arunachal Pradesh,149066,2598321
2020,1,state,Delhi,7826197,178263986
2020,1,state,Uttarakhand,1943606,32631265
2020,2,state,Puducherry,255600,3057608
2020,2,state,Tamil Nadu,12150786,144907447
2020,2,state,Uttar Pradesh,22498519,383703534
2020,2,state,Madhya Pradesh,11374423,253770044
2020,2,state,Andhra Pradesh,14319675,494341698
2020,2,state,Tripura,336666,4443221
2020,2,state,Lakshadweep,3187,29202
2020,2,state,Manipur,215496,3011491
2020,2,state,Maharashtra,28765086,506354812
2020,2,state,Dadra & Nagar Haveli & Daman & Diu,244814,4505127
2020,2,state,Meghalaya,136211,2205253
2020,2,state,Andaman & Nicobar Islands,32710,305072
2020,2,state,Haryana,7682878,143650123
2020,2,state,Rajasthan,13563201,329941181
2020,2,state,Ladakh,53034,695673
2020,2,state,Punjab,4225481,51289576
2020,2,state,Assam,2550883,39304924
2020,2,state,Jharkhand,4061035,76339276
2020,2,state,Odisha,7258315,154682772
2020,2,state,Bihar,10603767,218435035
2020,2,state,Kerala,4728844,45832953
2020,2,state,Karnataka,18655366,490510075
2020,2,state,Chandigarh,336351,3451250
2020,2,state,Telangana,13378191,367130505
2020,2,state,Himachal Pradesh,1249867,16125580
2020,2,state,West Bengal,13222022,198589332
2020,2,state,Gujarat,11392657,155264359
2020,2,state,Sikkim,119921,1912335
2020,2,state,Nagaland,130205,2119279
2020,2,state,Mizoram,55574,739308
2020,2,state,Chhattisgarh,3401658,68493384
2020,2,state,Jammu & Kashmir,845294,9856653
2020,2,state,Goa,430639,5310126
2020,2,state,Arunachal Pradesh,177534,3387006
2020,2,state,Delhi,8391139,142852253
2020,2,state,Uttarakhand,2148567,31074793
2020,3,state,Puducherry,285173,4222159
2020,3,state,Tamil Nadu,13643451,194683284
2020,3,state,Uttar Pradesh,24838116,450784508
2020,3,state,Madhya Pradesh,12564224,324850994
2020,3,state,Andhra Pradesh,15692405,696300382
2020,3,state,Tripura,376731,5777908
2020,3,state,Lakshadweep,3644,32128
2020,3,state,Manipur,258563,3552375
2020,3,state,Maharashtra,31409513,668197101
2020,3,state,Dadra & Nagar Haveli & Daman & Diu,267946,4421499
2020,3,state,Meghalaya,157741,2384534
2020,3,state,Andaman & Nicobar Islands,41335,515565
2020,3,state,Haryana,8398816,188614769
2020,3,state,Rajasthan,14969412,436682870
2020,3,state,Ladakh,58401,1015680
2020,3,state,Punjab,4694233,58946732
2020,3,state,Assam,2830011,41875278
2020,3,state,Jharkhand,4480027,99318784
2020,3,state,Odisha,7901755,205597666
2020,3,state,Bihar,11763213,266652644
2020,3,state,Kerala,5582300,64309022
2020,3,state,Karnataka,20487550,693683212
2020,3,state,Chandigarh,362588,4888739
2020,3,state,Telangana,14590882,527781925
2020,3,state,Himachal Pradesh,1378634,18411750
2020,3,state,West Bengal,14448366,246554831
2020,3,state,Gujarat,12467847,184402472
2020,3,state,Sikkim,134773,2156470
2020,3,state,Nagaland,173106,2868642
2020,3,state,Mizoram,68315,924865
2020,3,state,Chhattisgarh,3799386,86918606
2020,3,state,Jammu & Kashmir,949819,11443454
2020,3,state,Goa,474962,6129766
2020,3,state,Arunachal Pradesh,206046,4003421
2020,3,state,Delhi,9044174,190025029
2020,3,state,Uttarakhand,2365438,40377348
2020,4,state,Puducherry,319626,6377136
2020,4,state,Tamil Nadu,15357586,288233552
2020,4,state,Uttar Pradesh,27249134,552220798
2020,4,state,Madhya Pradesh,13737947,405571446
2020,4,state,Andhra Pradesh,17076565,869078538
2020,4,state,Tripura,409110,6017249
2020,4,state,Lakshadweep,4179,41144
2020,4,state,Manipur,288772,3783432
2020,4,state,Maharashtra,34432631,952006770
2020,4,state,Dadra & Nagar Haveli & Daman & Diu,296493,6196436
2020,4,state,Meghalaya,176447,2745917
2020,4,state,Andaman & Nicobar Islands,52396,887208
2020,4,state,Haryana,9129873,236101307
2020,4,state,Rajasthan,16329494,511015109
2020,4,state,Ladakh,64853,1232757
2020,4,state,Punjab,5157868,71191183
2020,4,state,Assam,3106153,49321814
2020,4,state,Jharkhand,4917938,126310835
2020,4,state,Odisha,8598751,270085293
2020,4,state,Bihar,12889833,317056600
2020,4,state,Kerala,6387169,91415273
2020,4,state,Karnataka,22400182,935510690
2020,4,state,Chandigarh,391402,6477974
2020,4,state,Telangana,15927797,764614235
2020,4,state,Himachal Pradesh,1508766,22001148
2020,4,state,West Bengal,15662093,291721919
2020,4,state,Gujarat,13605203,230497353
2020,4,state,Sikkim,148543,2478670
2020,4,state,Nagaland,192188,2922121
2020,4,state,Mizoram,78731,1096182
2020,4,state,Chhattisgarh,4190601,109900467
2020,4,state,Jammu & Kashmir,1079022,16018751
2020,4,state,Goa,527584,10991118
2020,4,state,Arunachal Pradesh,231292,4472667
2020,4,state,Delhi,9747968,243433752
2020,4,state,Uttarakhand,2596244,52564888
2021,1,state,Puducherry,346279,7914507
2021,1,state,Tamil Nadu,16632608,348801714
2021,1,state,Uttar Pradesh,29482075,639718324
2021,1,state,Madhya Pradesh,14839427,482500276
2021,1,state,Andhra Pradesh,18363733,957709447
2021,1,state,Tripura,439636,6009660
2021,1,state,Lakshadweep,4577,47283
2021,1,state,Manipur,312668,3709227
2021,1,state,Maharashtra,37077537,1101976484
2021,1,state,Dadra & Nagar Haveli & Daman & Diu,321396,7302462
2021,1,state,Meghalaya,190869,2939026
2021,1,state,Andaman & Nicobar Islands,57758,1004336
2021,1,state,Haryana,9827905,266686683
2021,1,state,Rajasthan,17661088,632535059
2021,1,state,Ladakh,69919,1184204
2021,1,state,Punjab,5568777,81052268
2021,1,state,Assam,3358448,56752364
2021,1,state,Jharkhand,5313049,141731331
2021,1,state,Odisha,9233009,301315474
2021,1,state,Bihar,13946288,355792608
2021,1,state,Kerala,6936943,108918733
2021,1,state,Karnataka,24095832,1084917385
2021,1,state,Chandigarh,419998,7919533
2021,1,state,Telangana,17149069,920040042
2021,1,state,Himachal Pradesh,1622951,24228094
2021,1,state,West Bengal,16808799,316832674
2021,1,state,Gujarat,14670126,264732874
2021,1,state,Sikkim,160213,2795331
2021,1,state,Nagaland,207808,2980581
2021,1,state,Mizoram,85750,1193214
2021,1,state,Chhattisgarh,4514551,124648704
2021,1,state,Jammu & Kashmir,1174818,18834009
2021,1,state,Goa,570035,15467672
2021,1,state,Arunachal Pradesh,251240,4796708
2021,1,state,Delhi,10467210,281201600
2021,1,state,Uttarakhand,2802122,59282260
2021,2,state,Puducherry,369961,5178916
2021,2,state,Tamil Nadu,17804542,343968474
2021,2,state,Uttar Pradesh,31651894,673598864
2021,2,state,Madhya Pradesh,15940935,727741649
2021,2,state,Andhra Pradesh,19620905,1044705436
2021,2,state,Tripura,472153,9500881
2021,2,state,Lakshadweep,4896,40301
2021,2,state,Manipur,335409,7269002
2021,2,state,Maharashtra,39664697,1208083592
2021,2,state,Dadra & Nagar Haveli & Daman & Diu,344994,5062983
2021,2,state,Meghalaya,205686,7290804
2021,2,state,Andaman & Nicobar Islands,62095,2248223
2021,2,state,Haryana,10530594,234052506
2021,2,state,Rajasthan,18980985,1072091232
2021,2,state,Ladakh,75048,4391632
2021,2,state,Punjab,5976548,85894089
2021,2,state,Assam,3617056,102003890
2021,2,state,Jharkhand,5701503,184234107
2021,2,state,Odisha,9891029,367576494
2021,2,state,Bihar,14972134,371198660
2021,2,state,Kerala,7416083,87814415
2021,2,state,Karnataka,25751023,1051089714
2021,2,state,Chandigarh,448572,4733924
2021,2,state,Telangana,18306880,905317692
2021,2,state,Himachal Pradesh,1743151,43269977
2021,2,state,West Bengal,17979979,275341466
2021,2,state,Gujarat,15735981,282432543
2021,2,state,Sikkim,171740,4541121
2021,2,state,Nagaland,223337,6716892
2021,2,state,Mizoram,92552,4014597
2021,2,state,Chhattisgarh,4837055,205784717
2021,2,state,Jammu & Kashmir,1261267,34274559
2021,2,state,Goa,609106,12710361
2021,2,state,Arunachal Pradesh,270572,13025849
2021,2,state,Delhi,11182699,164997774
2021,2,state,Uttarakhand,3004040,78380036
2021,3,state,Puducherry,396609,6899592
2021,3,state,Tamil Nadu,19127440,459826734
2021,3,state,Uttar Pradesh,34151882,803890116
2021,3,state,Madhya Pradesh,17210233,929572924
2021,3,state,Andhra Pradesh,21059898,1258536879
2021,3,state,Tripura,509929,12279146
2021,3,state,Lakshadweep,5287,49127
2021,3,state,Manipur,361749,9743772
2021,3,state,Maharashtra,42581217,1565370852
2021,3,state,Dadra & Nagar Haveli & Daman & Diu,371874,7162734
2021,3,state,Meghalaya,223065,9952956
2021,3,state,Andaman & Nicobar Islands,66982,3121625
2021,3,state,Haryana,11325336,296884105
2021,3,state,Rajasthan,20499465,1429553825
2021,3,state,Ladakh,81210,7099550
2021,3,state,Punjab,6434862,107614155
2021,3,state,Assam,3918480,135288631
2021,3,state,Jharkhand,6151843,230475998
2021,3,state,Odisha,10652490,492879704
2021,3,state,Bihar,16160771,421801379
2021,3,state,Kerala,7949425,116282717
2021,3,state,Karnataka,27614221,1366781087
2021,3,state,Chandigarh,480463,6378807
2021,3,state,Telangana,19615278,1107529197
