year,quarter,entity_type,entity_name,rank,type,count,amount,state
2020,2,state,Maharashtra,1,TOTAL,39836,6879717.0,
2020,2,state,Karnataka,2,TOTAL,27358,4794150.0,
2020,2,state,Andhra Pradesh,3,TOTAL,22104,3982391.0,
2020,2,state,Telangana,4,TOTAL,19003,3419453.0,
2020,2,state,Delhi,5,TOTAL,11716,1897480.0,
2020,2,state,Uttar Pradesh,6,TOTAL,9884,1912266.0,
2020,2,state,Gujarat,7,TOTAL,7697,1430591.0,
2020,2,state,West Bengal,8,TOTAL,7619,1432764.0,
2020,2,state,Haryana,9,TOTAL,6321,1179814.0,
2020,2,state,Madhya Pradesh,10,TOTAL,6283,1198701.0,
2020,2,district,Bengaluru Urban,1,TOTAL,20040,3301769.0,
2020,2,district,Pune,2,TOTAL,8699,1482628.0,
2020,2,district,Thane,3,TOTAL,7559,1221018.0,
2020,2,district,Mumbai Suburban,4,TOTAL,5780,884439.0,
2020,2,district,Hyderabad,5,TOTAL,4783,805518.0,
2020,2,district,Rangareddy,6,TOTAL,4495,778492.0,
2020,2,district,Medchal Malkajgiri,7,TOTAL,4150,711890.0,
2020,2,district,Visakhapatnam,8,TOTAL,3504,614212.0,
2020,2,district,Aurangabad,9,TOTAL,2898,509460.0,
2020,2,district,Anantapur,10,TOTAL,2739,485777.0,
2020,2,pincode,560068,1,TOTAL,1076,168415.0,
2020,2,pincode,560037,2,TOTAL,1034,155914.0,
2020,2,pincode,110059,3,TOTAL,895,132104.0,
2020,2,pincode,560076,4,TOTAL,802,124790.0,
2020,2,pincode,500072,5,TOTAL,760,122394.0,
2020,2,pincode,560078,6,TOTAL,742,119673.0,
2020,2,pincode,421201,7,TOTAL,668,104388.0,
2020,2,pincode,560100,8,TOTAL,651,103528.0,
2020,2,pincode,431003,9,TOTAL,651,107122.0,
2020,2,pincode,110092,10,TOTAL,638,94570.0,
2020,3,state,Maharashtra,1,TOTAL,71662,19230156.0,
2020,3,state,Karnataka,2,TOTAL,53701,12407394.0,
2020,3,state,Andhra Pradesh,3,TOTAL,49812,12426481.0,
2020,3,state,Telangana,4,TOTAL,34395,8406543.0,
2020,3,state,Uttar Pradesh,5,TOTAL,18131,4436969.0,
2020,3,state,Rajasthan,6,TOTAL,15235,3758527.0,
2020,3,state,Madhya Pradesh,7,TOTAL,14476,3496126.0,
2020,3,state,West Bengal,8,TOTAL,12596,2878482.0,
2020,3,state,Gujarat,9,TOTAL,12525,3335812.0,
2020,3,state,Odisha,10,TOTAL,10955,2640191.0,
2020,3,district,Bengaluru Urban,1,TOTAL,32192,6940765.0,
2020,3,district,Pune,2,TOTAL,18176,4567561.0,
2020,3,district,Visakhapatnam,3,TOTAL,7906,1892376.0,
2020,3,district,Thane,4,TOTAL,6951,1718946.0,
2020,3,district,Rangareddy,5,TOTAL,6340,1509162.0,
2020,3,district,Hyderabad,6,TOTAL,6331,1397580.0,
2020,3,district,Medchal Malkajgiri,7,TOTAL,5929,1415970.0,
2020,3,district,Nashik,8,TOTAL,5564,1418697.0,
2020,3,district,Spsr Nellore,9,TOTAL,5509,1259159.0,
2020,3,district,Krishna,10,TOTAL,4519,1093882.0,
2020,3,pincode,560068,1,TOTAL,1603,340876.0,
2020,3,pincode,560076,2,TOTAL,1148,250474.0,
2020,3,pincode,560078,3,TOTAL,1124,243443.0,
2020,3,pincode,500072,4,TOTAL,1103,243812.0,
2020,3,pincode,410501,5,TOTAL,1067,278535.0,
2020,3,pincode,345021,6,TOTAL,1003,203794.0,
2020,3,pincode,535003,7,TOTAL,968,195870.0,
2020,3,pincode,431003,8,TOTAL,926,209817.0,
2020,3,pincode,560037,9,TOTAL,923,202431.0,
2020,3,pincode,560079,10,TOTAL,904,183362.0,
2020,4,state,Maharashtra,1,TOTAL,44798,27113814.0,
2020,4,state,Karnataka,2,TOTAL,31747,26814968.0,
2020,4,state,Andhra Pradesh,3,TOTAL,21464,12985632.0,
2020,4,state,Telangana,4,TOTAL,20961,11339099.0,
2020,4,state,Uttar Pradesh,5,TOTAL,17470,14180417.0,
2020,4,state,Rajasthan,6,TOTAL,12509,6471573.0,
2020,4,state,Madhya Pradesh,7,TOTAL,10653,4897124.0,
2020,4,state,Tamil Nadu,8,TOTAL,10290,8993575.0,
2020,4,state,West Bengal,9,TOTAL,10233,7510455.0,
2020,4,state,Gujarat,10,TOTAL,9990,6055037.0,
2020,4,district,Bengaluru Urban,1,TOTAL,18485,15922383.0,
2020,4,district,Pune,2,TOTAL,8211,4862704.0,
2020,4,district,Thane,3,TOTAL,5939,4405413.0,
2020,4,district,Mumbai Suburban,4,TOTAL,4631,3301120.0,
2020,4,district,Hyderabad,5,TOTAL,3682,1892565.0,
2020,4,district,Rangareddy,6,TOTAL,3486,2124943.0,
2020,4,district,Visakhapatnam,7,TOTAL,3464,2203761.0,
2020,4,district,Jaipur,8,TOTAL,3318,1641429.0,
2020,4,district,Medchal Malkajgiri,9,TOTAL,3298,2034226.0,
2020,4,district,Nashik,10,TOTAL,2903,1492155.0,
2020,4,pincode,560068,1,TOTAL,849,653177.0,
2020,4,pincode,421302,2,TOTAL,609,459248.0,
2020,4,pincode,560079,3,TOTAL,565,461758.0,
2020,4,pincode,500072,4,TOTAL,554,307425.0,
2020,4,pincode,560078,5,TOTAL,536,398681.0,
2020,4,pincode,560076,6,TOTAL,525,495928.0,
2020,4,pincode,560037,7,TOTAL,511,384244.0,
2020,4,pincode,201301,8,TOTAL,496,320628.0,
2020,4,pincode,560043,9,TOTAL,495,437875.0,
2020,4,pincode,421201,10,TOTAL,465,347630.0,
2021,1,state,Maharashtra,1,TOTAL,55792,33137753.0,
2021,1,state,Karnataka,2,TOTAL,37595,30183325.0,
2021,1,state,Telangana,3,TOTAL,28298,14810947.0,
2021,1,state,Uttar Pradesh,4,TOTAL,24103,18027573.0,
2021,1,state,Andhra Pradesh,5,TOTAL,22105,12749874.0,
2021,1,state,Rajasthan,6,TOTAL,17800,8074225.0,
2021,1,state,West Bengal,7,TOTAL,15488,11172042.0,
2021,1,state,Madhya Pradesh,8,TOTAL,14427,5567927.0,
2021,1,state,Tamil Nadu,9,TOTAL,14406,11180849.0,
2021,1,state,Delhi,10,TOTAL,12822,9655261.0,
2021,1,district,Bengaluru Urban,1,TOTAL,21606,17636524.0,
2021,1,district,Pune,2,TOTAL,10913,6482027.0,
2021,1,district,Thane,3,TOTAL,6971,4869909.0,
2021,1,district,Mumbai Suburban,4,TOTAL,5505,3893302.0,
2021,1,district,Hyderabad,5,TOTAL,5067,2446647.0,
2021,1,district,Rangareddy,6,TOTAL,4821,2864273.0,
2021,1,district,Jaipur,7,TOTAL,4630,2056318.0,
2021,1,district,Medchal Malkajgiri,8,TOTAL,4375,2393448.0,
2021,1,district,Visakhapatnam,9,TOTAL,4006,2403199.0,
2021,1,district,Kolkata,10,TOTAL,3750,2611912.0,
2021,1,pincode,560068,1,TOTAL,870,614123.0,
2021,1,pincode,421302,2,TOTAL,802,538000.0,
2021,1,pincode,700046,3,TOTAL,750,471141.0,
2021,1,pincode,201301,4,TOTAL,697,383781.0,
2021,1,pincode,560043,5,TOTAL,682,549677.0,
2021,1,pincode,500072,6,TOTAL,677,374999.0,
2021,1,pincode,560078,7,TOTAL,658,521459.0,
2021,1,pincode,410501,8,TOTAL,649,265413.0,
2021,1,pincode,560091,9,TOTAL,648,492850.0,
2021,1,pincode,110059,10,TOTAL,632,446103.0,
2021,2,state,Maharashtra,1,TOTAL,70381,46763103.0,
2021,2,state,Karnataka,2,TOTAL,40969,39501006.0,
2021,2,state,Andhra Pradesh,3,TOTAL,33205,22730687.0,
2021,2,state,Telangana,4,TOTAL,28870,20935651.0,
2021,2,state,Uttar Pradesh,5,TOTAL,25952,25137571.0,
2021,2,state,Rajasthan,6,TOTAL,18281,14357445.0,
2021,2,state,Tamil Nadu,7,TOTAL,17682,16444344.0,
2021,2,state,West Bengal,8,TOTAL,15200,12396029.0,
2021,2,state,Madhya Pradesh,9,TOTAL,14803,9787391.0,
2021,2,state,Gujarat,10,TOTAL,14676,10263998.0,
2021,2,district,Bengaluru Urban,1,TOTAL,21918,19572756.0,
2021,2,district,Pune,2,TOTAL,14949,9422249.0,
2021,2,district,Thane,3,TOTAL,7446,5734857.0,
2021,2,district,Rangareddy,4,TOTAL,5618,4515303.0,
2021,2,district,Hyderabad,5,TOTAL,5616,3945773.0,
2021,2,district,Prakasam,6,TOTAL,5308,2719134.0,
2021,2,district,Mumbai Suburban,7,TOTAL,5293,3659655.0,
2021,2,district,Medchal Malkajgiri,8,TOTAL,5094,3743459.0,
2021,2,district,Visakhapatnam,9,TOTAL,4655,3497573.0,
2021,2,district,Nashik,10,TOTAL,4607,2827696.0,
2021,2,pincode,523002,1,TOTAL,1409,631953.0,
2021,2,pincode,110042,2,TOTAL,1036,537398.0,
2021,2,pincode,560068,3,TOTAL,982,719927.0,
2021,2,pincode,410501,4,TOTAL,948,578550.0,
2021,2,pincode,500072,5,TOTAL,915,574372.0,
2021,2,pincode,421302,6,TOTAL,783,586297.0,
2021,2,pincode,712138,7,TOTAL,724,263805.0,
2021,2,pincode,411033,8,TOTAL,722,405598.0,
2021,2,pincode,560076,9,TOTAL,719,556220.0,
2021,2,pincode,412105,10,TOTAL,713,452166.0,
2021,3,state,Maharashtra,1,TOTAL,52268,41313307.0,
2021,3,state,Karnataka,2,TOTAL,47468,48078366.0,
2021,3,state,Uttar Pradesh,3,TOTAL,32799,32641118.0,
2021,3,state,Telangana,4,TOTAL,27080,20925217.0,
2021,3,state,West Bengal,5,TOTAL,24839,21424337.0,
2021,3,state,Tamil Nadu,6,TOTAL,23107,23402918.0,
2021,3,state,Andhra Pradesh,7,TOTAL,23075,19914338.0,
2021,3,state,Bihar,8,TOTAL,18030,18234941.0,
2021,3,state,Delhi,9,TOTAL,16679,15007079.0,
2021,3,state,Rajasthan,10,TOTAL,16643,12793862.0,
2021,3,district,Bengaluru Urban,1,TOTAL,27498,26210017.0,
2021,3,district,Pune,2,TOTAL,9943,8127896.0,
2021,3,district,Thane,3,TOTAL,7829,6194341.0,
2021,3,district,Mumbai Suburban,4,TOTAL,5520,4552921.0,
2021,3,district,Hyderabad,5,TOTAL,5201,3813732.0,
2021,3,district,Rangareddy,6,TOTAL,5064,4209112.0,
2021,3,district,Medchal Malkajgiri,7,TOTAL,4896,3968450.0,
2021,3,district,Kolkata,8,TOTAL,4808,3468389.0,
2021,3,district,Gurugram,9,TOTAL,4501,3651728.0,
2021,3,district,Chennai,10,TOTAL,4367,3861435.0,
2021,3,pincode,712138,1,TOTAL,1350,480755.0,
2021,3,pincode,421301,2,TOTAL,1176,670772.0,
2021,3,pincode,560068,3,TOTAL,1126,984821.0,
2021,3,pincode,421302,4,TOTAL,1001,736789.0,
2021,3,pincode,122001,5,TOTAL,866,704138.0,
2021,3,pincode,201301,6,TOTAL,846,600065.0,
