year,quarter,entity_type,entity_name,rank,type,count,amount,state
2020,1,state,Karnataka,1,TOTAL,271033890,353402054999.4003,
2020,1,state,Maharashtra,2,TOTAL,238944081,319995196718.0683,
2020,1,state,Telangana,3,TOTAL,199409525,371343780368.2118,
2020,1,state,Andhra Pradesh,4,TOTAL,127677357,252737214289.0485,
2020,1,state,Rajasthan,5,TOTAL,102258812,190308238561.00217,
2020,1,state,Uttar Pradesh,6,TOTAL,97239132,172416434960.69037,
2020,1,state,Delhi,7,TOTAL,81747604,133616543642.58943,
2020,1,state,Madhya Pradesh,8,TOTAL,79366746,126737281436.18527,
2020,1,state,Tamil Nadu,9,TOTAL,66953473,116569686179.4346,
2020,1,state,West Bengal,10,TOTAL,66250381,96653305190.9406,
2020,1,district,Bengaluru Urban,1,TOTAL,200174352,231970686013.7528,
2020,1,district,Pune,2,TOTAL,107497963,119146177775.3236,
2020,1,district,Hyderabad,3,TOTAL,94177232,183207208610.81787,
2020,1,district,Jaipur,4,TOTAL,52623661,98360847993.80875,
2020,1,district,Rangareddy,5,TOTAL,31802492,45881228273.95146,
2020,1,district,Visakhapatnam,6,TOTAL,27115031,48809747614.678894,
2020,1,district,Medchal Malkajgiri,7,TOTAL,25458101,37404467180.931694,
2020,1,district,Central Delhi,8,TOTAL,24757650,41219414205.0607,
2020,1,district,Mumbai Suburban,9,TOTAL,23598054,40462122569.6479,
2020,1,district,Khordha,10,TOTAL,23152370,39755139238.6053,
2020,1,pincode,500001,1,TOTAL,63671159,139394865595.49792,
2020,1,pincode,560001,2,TOTAL,57330889,81134886975.52737,
2020,1,pincode,411004,3,TOTAL,43278566,64894935103.99599,
2020,1,pincode,302016,4,TOTAL,24180734,56174137377.66255,
2020,1,pincode,110006,5,TOTAL,19881142,34803706848.31907,
2020,1,pincode,600003,6,TOTAL,14352747,29310364582.884754,
2020,1,pincode,110001,7,TOTAL,13167147,27716426760.692245,
2020,1,pincode,700009,8,TOTAL,13084249,24503076745.659294,
2020,1,pincode,751001,9,TOTAL,11782987,25543182753.84958,
2020,1,pincode,400070,10,TOTAL,10817537,21066837485.651253,
2020,2,state,Karnataka,1,TOTAL,213221712,321104877020.14185,
2020,2,state,Maharashtra,2,TOTAL,184790761,296359517159.4161,
2020,2,state,Telangana,3,TOTAL,152055143,321531839352.42236,
2020,2,state,Andhra Pradesh,4,TOTAL,144917855,302583689746.5449,
2020,2,state,Rajasthan,5,TOTAL,101954656,193763273003.28284,
2020,2,state,Uttar Pradesh,6,TOTAL,100851965,178744016130.31216,
2020,2,state,Madhya Pradesh,7,TOTAL,76340573,147922015289.08447,
2020,2,state,Delhi,8,TOTAL,66042018,107873438203.3316,
2020,2,state,West Bengal,9,TOTAL,57676797,100099431877.35757,
2020,2,state,Bihar,10,TOTAL,53386742,128806523628.85289,
2020,2,district,Bengaluru Urban,1,TOTAL,132120979,176357097466.7659,
2020,2,district,Pune,2,TOTAL,58840981,94890914730.75931,
2020,2,district,Hyderabad,3,TOTAL,56374644,130820061488.30273,
2020,2,district,Jaipur,4,TOTAL,43871862,88270816977.90562,
2020,2,district,Visakhapatnam,5,TOTAL,25300401,48293889917.41437,
2020,2,district,Rangareddy,6,TOTAL,18068048,31273545586.261536,
2020,2,district,Medchal Malkajgiri,7,TOTAL,17860704,29732057894.607735,
2020,2,district,Central Delhi,8,TOTAL,17641823,30418597739.3527,
2020,2,district,Khordha,9,TOTAL,16842715,34814877058.416145,
2020,2,district,Ahmadabad,10,TOTAL,16430916,32731896547.150326,
2020,2,pincode,500001,1,TOTAL,39752686,101961882246.87434,
2020,2,pincode,560001,2,TOTAL,38973791,66590268182.415665,
2020,2,pincode,411004,3,TOTAL,27617700,58352702890.56202,
2020,2,pincode,302016,4,TOTAL,22032140,53610675078.51194,
2020,2,pincode,110006,5,TOTAL,14401400,26006450222.981194,
2020,2,pincode,110001,6,TOTAL,9780539,21370003546.27849,
2020,2,pincode,800001,7,TOTAL,9603835,29875811977.924408,
2020,2,pincode,751001,8,TOTAL,9411361,23813152297.287315,
2020,2,pincode,600003,9,TOTAL,8641869,22394007817.575096,
2020,2,pincode,380001,10,TOTAL,8490730,21210698645.19712,
2020,3,state,Karnataka,1,TOTAL,300360531,470740515696.6945,
2020,3,state,Maharashtra,2,TOTAL,268310924,440307079012.4761,
2020,3,state,Telangana,3,TOTAL,236372126,505961144755.88367,
2020,3,state,Andhra Pradesh,4,TOTAL,204902935,467084130584.9388,
2020,3,state,Rajasthan,5,TOTAL,149088676,293678306162.4698,
2020,3,state,Uttar Pradesh,6,TOTAL,127405259,248689955423.05322,
2020,3,state,Madhya Pradesh,7,TOTAL,108579881,205701679984.5376,
2020,3,state,Delhi,8,TOTAL,96491861,175163962804.6604,
2020,3,state,West Bengal,9,TOTAL,79954504,156813355855.1383,
2020,3,state,Bihar,10,TOTAL,71503748,173328865111.81442,
2020,3,district,Bengaluru Urban,1,TOTAL,188947684,261095181780.0901,
2020,3,district,Pune,2,TOTAL,101472134,154366363808.0403,
2020,3,district,Hyderabad,3,TOTAL,99285803,228448742377.47607,
2020,3,district,Jaipur,4,TOTAL,71797182,138189424031.4575,
2020,3,district,Visakhapatnam,5,TOTAL,34421299,67628440368.111465,
2020,3,district,Central Delhi,6,TOTAL,32203761,61527717933.93762,
2020,3,district,Rangareddy,7,TOTAL,29573243,51787722036.044556,
2020,3,district,Bhopal,8,TOTAL,29560361,57525605025.512215,
2020,3,district,Medchal Malkajgiri,9,TOTAL,28698311,48831695001.78223,
2020,3,district,Khordha,10,TOTAL,23387123,44638448273.52248,
2020,3,pincode,500001,1,TOTAL,70732132,177532009421.7673,
2020,3,pincode,560001,2,TOTAL,56516908,95602796543.47356,
2020,3,pincode,411004,3,TOTAL,49082232,94100767700.43585,
2020,3,pincode,302016,4,TOTAL,34723808,78104750484.0607,
2020,3,pincode,110006,5,TOTAL,27731187,53768475790.81149,
2020,3,pincode,462008,6,TOTAL,18608188,42836925858.3958,
2020,3,pincode,800001,7,TOTAL,14656027,41210183921.21666,
2020,3,pincode,700009,8,TOTAL,14161961,35897930520.847115,
2020,3,pincode,751001,9,TOTAL,11770940,27337331950.38349,
2020,3,pincode,110001,10,TOTAL,11598940,25361403335.98009,
2020,4,state,Karnataka,1,TOTAL,431536984,658036698565.0032,
2020,4,state,Maharashtra,2,TOTAL,407621004,622155530832.2585,
2020,4,state,Telangana,3,TOTAL,343643787,696350439226.9452,
2020,4,state,Andhra Pradesh,4,TOTAL,286118552,654841546033.3186,
2020,4,state,Rajasthan,5,TOTAL,190283435,386034779836.48376,
2020,4,state,Uttar Pradesh,6,TOTAL,178167517,357428826778.2578,
2020,4,state,Madhya Pradesh,7,TOTAL,153652541,284275139772.3589,
2020,4,state,Delhi,8,TOTAL,120540417,216265088224.54358,
2020,4,state,Tamil Nadu,9,TOTAL,111179701,206473197500.99268,
2020,4,state,West Bengal,10,TOTAL,100340645,199165491365.6468,
2020,4,district,Bengaluru Urban,1,TOTAL,267720411,352536741958.4486,
2020,4,district,Pune,2,TOTAL,142350762,182511549425.14316,
2020,4,district,Hyderabad,3,TOTAL,117008707,243045184188.2821,
2020,4,district,Jaipur,4,TOTAL,82378485,159641718978.41748,
2020,4,district,Rangareddy,5,TOTAL,53405219,89256130453.08658,
2020,4,district,Medchal Malkajgiri,6,TOTAL,49900746,81801106073.41168,
2020,4,district,Visakhapatnam,7,TOTAL,46551467,91879823025.40399,
2020,4,district,Bhopal,8,TOTAL,38492334,67905952477.88091,
2020,4,district,Central Delhi,9,TOTAL,32194168,61575435521.28284,
2020,4,district,Mumbai Suburban,10,TOTAL,31947471,52567087497.07483,
2020,4,pincode,500001,1,TOTAL,63797806,154104662898.10648,
2020,4,pincode,560001,2,TOTAL,56310863,93518053649.26508,
2020,4,pincode,411004,3,TOTAL,48628369,83733590846.60262,
2020,4,pincode,302016,4,TOTAL,31028451,71599277148.69725,
2020,4,pincode,110006,5,TOTAL,24969702,48831647275.471146,
2020,4,pincode,462008,6,TOTAL,20637374,44520942803.43778,
2020,4,pincode,800001,7,TOTAL,14983099,39976507362.54611,
2020,4,pincode,600003,8,TOTAL,11690163,26114457256.846283,
2020,4,pincode,751001,9,TOTAL,11637193,26523469788.723434,
2020,4,pincode,700009,10,TOTAL,11305243,28555964654.22016,
2021,1,state,Karnataka,1,TOTAL,523797492,754995357412.3948,
2021,1,state,Maharashtra,2,TOTAL,517860240,769887352153.2483,
2021,1,state,Telangana,3,TOTAL,412572110,799359264046.5657,
2021,1,state,Andhra Pradesh,4,TOTAL,289747970,672444670176.5881,
2021,1,state,Rajasthan,5,TOTAL,252730919,491492581657.63354,
2021,1,state,Uttar Pradesh,6,TOTAL,204499547,396287587577.55756,
2021,1,state,Madhya Pradesh,7,TOTAL,201998498,343533954382.3015,
2021,1,state,Delhi,8,TOTAL,157359004,266928345043.49225,
2021,1,state,Tamil Nadu,9,TOTAL,136556674,248668143873.65317,
2021,1,state,West Bengal,10,TOTAL,118254052,242937207475.51984,
2021,1,district,Bengaluru Urban,1,TOTAL,348712787,432401341231.7671,
2021,1,district,Pune,2,TOTAL,208930588,253623629237.65796,
2021,1,district,Hyderabad,3,TOTAL,169703372,316572388133.7874,
2021,1,district,Jaipur,4,TOTAL,125917532,223771205713.25284,
2021,1,district,Bhopal,5,TOTAL,67309234,101725720745.41443,
2021,1,district,Rangareddy,6,TOTAL,60675056,98883148961.30931,
2021,1,district,Medchal Malkajgiri,7,TOTAL,54854446,87516738646.29623,
2021,1,district,Central Delhi,8,TOTAL,54173342,90711721159.77658,
2021,1,district,Mumbai Suburban,9,TOTAL,49079788,75911506798.24135,
2021,1,district,Visakhapatnam,10,TOTAL,48248923,95308386037.8472,
2021,1,pincode,560001,1,TOTAL,111898471,154275126291.57785,
2021,1,pincode,500001,2,TOTAL,107274281,218270126529.36053,
2021,1,pincode,411004,3,TOTAL,99287169,142692099313.18896,
2021,1,pincode,302016,4,TOTAL,65639307,124138636281.23145,
2021,1,pincode,110006,5,TOTAL,46104924,76683904356.11441,
2021,1,pincode,462008,6,TOTAL,45920869,76097617508.03972,
2021,1,pincode,800001,7,TOTAL,30937663,68071234953.67711,
2021,1,pincode,600003,8,TOTAL,25512152,44939868773.04714,
2021,1,pincode,400070,9,TOTAL,25090098,39416189451.46673,
2021,1,pincode,751001,10,TOTAL,24151383,44482729136.236565,
2021,2,state,Maharashtra,1,TOTAL,573616486,915115055623.7152,
2021,2,state,Karnataka,2,TOTAL,530649046,837887151230.051,
2021,2,state,Telangana,3,TOTAL,495867544,1027958332797.5903,
2021,2,state,Andhra Pradesh,4,TOTAL,352767134,850737499108.2987,
2021,2,state,Rajasthan,5,TOTAL,287477039,561702765169.2324,
2021,2,state,Uttar Pradesh,6,TOTAL,241949131,482172489166.39343,
2021,2,state,Madhya Pradesh,7,TOTAL,223314680,425500768035.631,
2021,2,state,Delhi,8,TOTAL,170157264,281941097684.5416,
2021,2,state,Bihar,9,TOTAL,155603622,374580255186.58875,
2021,2,state,Tamil Nadu,10,TOTAL,146158442,263487341026.54623,
2021,2,district,Bengaluru Urban,1,TOTAL,326804307,444422398357.67755,
2021,2,district,Pune,2,TOTAL,218732925,298657497266.993,
2021,2,district,Hyderabad,3,TOTAL,212326623,424872741465.13696,
2021,2,district,Jaipur,4,TOTAL,137247139,248390977964.5579,
2021,2,district,Bhopal,5,TOTAL,74643630,127038866031.39793,
2021,2,district,Rangareddy,6,TOTAL,63155281,113987187628.93881,
2021,2,district,Central Delhi,7,TOTAL,62131856,100895875737.76093,
2021,2,district,Medchal Malkajgiri,8,TOTAL,58755991,102864360004.68025,
2021,2,district,Visakhapatnam,9,TOTAL,54390299,114439012713.35336,
2021,2,district,Patna,10,TOTAL,53400850,114936398151.99364,
2021,2,pincode,500001,1,TOTAL,148864777,315432046413.6635,
2021,2,pincode,560001,2,TOTAL,123224371,183498284704.3348,
2021,2,pincode,411004,3,TOTAL,120795663,186134320440.93646,
2021,2,pincode,302016,4,TOTAL,81782827,152295120262.96942,
2021,2,pincode,462008,5,TOTAL,57596018,101902493881.58667,
