year,quarter,entity_type,entity_name,rank,registered_users
2020,1,state,Maharashtra,1,26168390
2020,1,state,Uttar Pradesh,2,20136256
2020,1,state,Karnataka,3,17016980
2020,1,state,Andhra Pradesh,4,13022060
2020,1,state,Telangana,5,12306860
2020,1,state,Rajasthan,6,12142053
2020,1,state,West Bengal,7,11960822
2020,1,state,Tamil Nadu,8,10872368
2020,1,state,Gujarat,9,10259843
2020,1,state,Madhya Pradesh,10,10151371
2020,1,district,Bengaluru Urban,1,7564577
2020,1,district,Pune,2,4802397
2020,1,district,Jaipur,3,2966508
2020,1,district,Thane,4,2878073
2020,1,district,Mumbai Suburban,5,2843378
2020,1,district,Hyderabad,6,2483843
2020,1,district,Ahmadabad,7,2185983
2020,1,district,Rangareddy,8,2166829
2020,1,district,Medchal Malkajgiri,9,1845599
2020,1,district,North Twenty Four Parganas,10,1789973
2020,2,state,Maharashtra,1,28765086
2020,2,state,Uttar Pradesh,2,22498519
2020,2,state,Karnataka,3,18655366
2020,2,state,Andhra Pradesh,4,14319675
2020,2,state,Rajasthan,5,13563201
2020,2,state,Telangana,6,13378191
2020,2,state,West Bengal,7,13222022
2020,2,state,Tamil Nadu,8,12150786
2020,2,state,Gujarat,9,11392657
2020,2,state,Madhya Pradesh,10,11374423
2020,2,district,Bengaluru Urban,1,8028070
2020,2,district,Pune,2,5144688
2020,2,district,Jaipur,3,3182014
2020,2,district,Thane,4,3135101
2020,2,district,Mumbai Suburban,5,3060916
2020,2,district,Hyderabad,6,2653534
2020,2,district,Ahmadabad,7,2384154
2020,2,district,Rangareddy,8,2313748
2020,2,district,North Twenty Four Parganas,9,1966125
2020,2,district,Medchal Malkajgiri,10,1963353
2020,3,state,Maharashtra,1,31409513
2020,3,state,Uttar Pradesh,2,24838116
2020,3,state,Karnataka,3,20487550
2020,3,state,Andhra Pradesh,4,15692405
2020,3,state,Rajasthan,5,14969412
2020,3,state,Telangana,6,14590882
2020,3,state,West Bengal,7,14448366
2020,3,state,Tamil Nadu,8,13643451
2020,3,state,Madhya Pradesh,9,12564224
2020,3,state,Gujarat,10,12467847
2020,3,district,Bengaluru Urban,1,8611452
2020,3,district,Pune,2,5546002
2020,3,district,Jaipur,3,3433167
2020,3,district,Thane,4,3401853
2020,3,district,Mumbai Suburban,5,3304696
2020,3,district,Hyderabad,6,2875965
2020,3,district,Ahmadabad,7,2580178
2020,3,district,Rangareddy,8,2495699
2020,3,district,North Twenty Four Parganas,9,2143943
2020,3,district,Medchal Malkajgiri,10,2111567
2020,4,state,Maharashtra,1,34432631
2020,4,state,Uttar Pradesh,2,27249134
2020,4,state,Karnataka,3,22400182
2020,4,state,Andhra Pradesh,4,17076565
2020,4,state,Rajasthan,5,16329494
2020,4,state,Telangana,6,15927797
2020,4,state,West Bengal,7,15662093
2020,4,state,Tamil Nadu,8,15357586
2020,4,state,Madhya Pradesh,9,13737947
2020,4,state,Gujarat,10,13605203
2020,4,district,Bengaluru Urban,1,9286243
2020,4,district,Pune,2,6033615
2020,4,district,Thane,3,3727358
