state,q1_avg,q4_avg,annual_growth_pct,trend_classification
Ladakh,993441195.9,1779740459.9,79.15,HIGH_GROWTH
Lakshadweep,21537434.2,36758806.4,70.67,HIGH_GROWTH
Jammu & Kashmir,14988267652.2,25402112249.2,69.48,HIGH_GROWTH
Arunachal Pradesh,4244162293.0,5920868666.7,39.51,HIGH_GROWTH
Andaman & Nicobar Islands,1132068042.2,1519049727.2,34.18,HIGH_GROWTH
Uttarakhand,25745674284.8,34299223822.1,33.22,HIGH_GROWTH
Uttar Pradesh,411447937201.1,547154768411.1,32.98,HIGH_GROWTH
Nagaland,1785931316.2,2363367409.8,32.33,HIGH_GROWTH
Bihar,267701382484.0,353366328446.2,32.0,HIGH_GROWTH
West Bengal,231890868938.8,305949500548.4,31.94,HIGH_GROWTH
Sikkim,1621828954.5,2123170986.9,30.91,HIGH_GROWTH
Himachal Pradesh,8562517907.3,11201724279.8,30.82,HIGH_GROWTH
Meghalaya,2571414527.3,3354798612.5,30.47,HIGH_GROWTH
Punjab,39881209718.2,52026511419.7,30.45,HIGH_GROWTH
Haryana,139793884296.8,181422984395.4,29.78,HIGH_GROWTH
Jharkhand,92709157309.4,120273060595.9,29.73,HIGH_GROWTH
Dadra & Nagar Haveli & Daman & Diu,3213328752.5,4150328142.8,29.16,HIGH_GROWTH
Delhi,144391714069.3,185671020525.2,28.59,HIGH_GROWTH
Chhattisgarh,76409874636.0,98081347917.0,28.36,HIGH_GROWTH
Chandigarh,2866707057.5,3678260889.0,28.31,HIGH_GROWTH
Madhya Pradesh,268744682976.5,342980794953.2,27.62,HIGH_GROWTH
Gujarat,146944565373.0,187110170049.6,27.33,HIGH_GROWTH
Maharashtra,573518480091.5,724904338584.5,26.4,HIGH_GROWTH
Tripura,3104047226.5,3922980206.2,26.38,HIGH_GROWTH
Goa,8044886603.5,10085026110.0,25.36,HIGH_GROWTH
Assam,53353807311.7,66839004289.0,25.28,HIGH_GROWTH
Telangana,557635103535.7,697546801018.3,25.09,HIGH_GROWTH
Rajasthan,390541354964.0,485942897920.9,24.43,HIGH_GROWTH
Karnataka,595547588082.3,739319622820.5,24.14,HIGH_GROWTH
Mizoram,658571946.9,800200320.5,21.51,HIGH_GROWTH
Tamil Nadu,162944478458.0,196050354061.1,20.32,HIGH_GROWTH
Odisha,191035770019.9,228424945887.6,19.57,HIGH_GROWTH
Andhra Pradesh,526177698627.9,625453054678.9,18.87,HIGH_GROWTH
Kerala,42071506441.5,49862529203.1,18.52,HIGH_GROWTH
Puducherry,3160887048.3,3698990309.7,17.02,HIGH_GROWTH
Manipur,1782853741.5,1886203385.4,5.8,STAGNANT
