state,state_revenue,state_volume,revenue_share_pct,volume_share_pct,concentration_tier
Telangana,163216858203544.34,102668698336,12.09,11.15,TIER1_HIGH_CONCENTRATION
Karnataka,158853970198727.7,121042005604,11.76,13.15,TIER1_HIGH_CONCENTRATION
Maharashtra,157788080664555.38,125370728296,11.68,13.62,TIER1_HIGH_CONCENTRATION
Andhra Pradesh,136036868263029.73,74174949428,10.07,8.06,TIER1_HIGH_CONCENTRATION
Uttar Pradesh,105284777563395.0,72636007552,7.8,7.89,TIER1_HIGH_CONCENTRATION
Rajasthan,103338524637473.53,67237650020,7.65,7.3,TIER1_HIGH_CONCENTRATION
Madhya Pradesh,74975397216377.38,55260701000,5.55,6.0,TIER1_HIGH_CONCENTRATION
Bihar,70270488713281.586,43057932048,5.2,4.68,TIER1_HIGH_CONCENTRATION
West Bengal,60826244349527.914,35254349848,4.5,3.83,TIER2_MODERATE
Odisha,47948343159365.266,34733610652,3.55,3.77,TIER2_MODERATE
Tamil Nadu,46118549085838.41,30315929556,3.41,3.29,TIER2_MODERATE
Delhi,44677466053804.12,32706494764,3.31,3.55,TIER2_MODERATE
Gujarat,39636550848090.836,26209415200,2.93,2.85,TIER2_MODERATE
Haryana,37547018348926.61,26400040436,2.78,2.87,TIER2_MODERATE
Jharkhand,23195132821713.0,16778792440,1.72,1.82,TIER2_MODERATE
Chhattisgarh,19167385247080.734,14695536920,1.42,1.6,TIER3_LOW
Assam,13601580449262.79,8923772176,1.01,0.97,TIER3_LOW
Kerala,11984246562064.01,9015342620,0.89,0.98,TIER3_LOW
Punjab,11490719234497.195,6878097008,0.85,0.75,TIER3_LOW
Uttarakhand,7459378502792.236,5708186916,0.55,0.62,TIER3_LOW
Jammu & Kashmir,4614805098656.509,3221407096,0.34,0.35,TIER3_LOW
Himachal Pradesh,2640998254010.825,1946093816,0.2,0.21,TIER3_LOW
Goa,2001526043003.1216,1438339064,0.15,0.16,TIER3_LOW
Chandigarh,1101674558383.0833,782351564,0.08,0.08,TIER3_LOW
Arunachal Pradesh,1079368009970.017,633893028,0.08,0.07,TIER3_LOW
Puducherry,921245763850.706,652247756,0.07,0.07,TIER3_LOW
Dadra & Nagar Haveli & Daman & Diu,785119256141.5873,790457564,0.06,0.09,TIER3_LOW
Tripura,781193179164.6907,468091972,0.06,0.05,TIER3_LOW
Manipur,725792906572.6744,285487984,0.05,0.03,TIER3_LOW
Meghalaya,638266333656.4387,348532044,0.05,0.04,TIER3_LOW
Nagaland,508199808286.4702,213960860,0.04,0.02,TIER3_LOW
Sikkim,459442889613.7242,254124464,0.03,0.03,TIER3_LOW
Ladakh,350588824819.9492,155890728,0.03,0.02,TIER3_LOW
Andaman & Nicobar Islands,280019649142.8222,158063304,0.02,0.02,TIER3_LOW
Mizoram,178210717360.0988,76105080,0.01,0.01,TIER3_LOW
Lakshadweep,6213807154.24656,3461852,0.0,0.0,TIER3_LOW
