state,total_users,device_types,first_year,latest_year,engagement_level,user_market_share_pct
Maharashtra,1335236828,12,2020,2022,HIGHLY_ENGAGED,13.02
Uttar Pradesh,1062500892,14,2020,2022,HIGHLY_ENGAGED,10.36
Karnataka,866724596,11,2020,2022,HIGHLY_ENGAGED,8.45
Andhra Pradesh,662008884,11,2020,2022,HIGHLY_ENGAGED,6.45
Rajasthan,638087028,12,2020,2022,HIGHLY_ENGAGED,6.22
Telangana,617372872,11,2020,2022,HIGHLY_ENGAGED,6.02
West Bengal,607878692,13,2020,2022,HIGHLY_ENGAGED,5.93
Tamil Nadu,590755772,11,2020,2022,HIGHLY_ENGAGED,5.76
Madhya Pradesh,535723800,12,2020,2022,HIGHLY_ENGAGED,5.22
Gujarat,529931732,12,2020,2022,HIGHLY_ENGAGED,5.17
Bihar,502031516,14,2020,2022,HIGHLY_ENGAGED,4.89
Delhi,379855088,12,2020,2022,HIGHLY_ENGAGED,3.7
Haryana,355590396,12,2020,2022,HIGHLY_ENGAGED,3.47
Odisha,334849332,12,2020,2022,HIGHLY_ENGAGED,3.26
Kerala,242100756,11,2020,2022,HIGHLY_ENGAGED,2.36
Punjab,199920400,13,2020,2022,HIGHLY_ENGAGED,1.95
Jharkhand,191593036,16,2020,2022,HIGHLY_ENGAGED,1.87
Chhattisgarh,161793056,14,2020,2022,HIGHLY_ENGAGED,1.58
Assam,121076596,15,2020,2022,HIGHLY_ENGAGED,1.18
Uttarakhand,100913480,15,2020,2022,HIGHLY_ENGAGED,0.98
Himachal Pradesh,58589000,14,2020,2022,HIGHLY_ENGAGED,0.57
Jammu & Kashmir,41646472,12,2020,2022,HIGHLY_ENGAGED,0.41
Goa,20373960,12,2020,2022,HIGHLY_ENGAGED,0.2
Tripura,15890412,15,2020,2022,HIGHLY_ENGAGED,0.15
Chandigarh,15223608,12,2020,2022,HIGHLY_ENGAGED,0.15
Puducherry,12301496,11,2020,2022,HIGHLY_ENGAGED,0.12
Dadra & Nagar Haveli & Daman & Diu,11558184,13,2020,2022,HIGHLY_ENGAGED,0.11
Manipur,10998708,12,2020,2022,HIGHLY_ENGAGED,0.11
Arunachal Pradesh,8916424,12,2020,2022,HIGHLY_ENGAGED,0.09
Nagaland,7248228,13,2020,2022,HIGHLY_ENGAGED,0.07
Meghalaya,6799760,14,2020,2022,HIGHLY_ENGAGED,0.07
Sikkim,5726148,13,2020,2022,HIGHLY_ENGAGED,0.06
Mizoram,3007072,12,2020,2022,MODERATELY_ENGAGED,0.03
Ladakh,2519216,11,2020,2022,MODERATELY_ENGAGED,0.02
Andaman & Nicobar Islands,1958848,12,2020,2022,MODERATELY_ENGAGED,0.02
Lakshadweep,160680,11,2020,2022,LOW_ENGAGEMENT,0.0
