state,device,device_users,years_active,device_share_pct
Andaman & Nicobar Islands,Vivo,465588,3,0.0
Andaman & Nicobar Islands,Xiaomi,464660,3,0.0
Andaman & Nicobar Islands,Samsung,355076,3,0.0
Andaman & Nicobar Islands,Oppo,172164,3,0.0
Andaman & Nicobar Islands,Others,141192,3,0.0
Andaman & Nicobar Islands,Realme,133652,3,0.0
Andaman & Nicobar Islands,OnePlus,69156,3,0.0
Andaman & Nicobar Islands,Huawei,48728,3,0.0
Andaman & Nicobar Islands,Apple,39944,3,0.0
Andaman & Nicobar Islands,Motorola,34684,3,0.0
Andaman & Nicobar Islands,Tecno,24540,2,0.0
Andaman & Nicobar Islands,Lenovo,9464,1,0.0
Andhra Pradesh,Xiaomi,165392956,3,1.61
Andhra Pradesh,Samsung,126286184,3,1.23
Andhra Pradesh,Vivo,120662200,3,1.18
Andhra Pradesh,Oppo,73606756,3,0.72
Andhra Pradesh,Realme,61914948,3,0.6
Andhra Pradesh,Others,43112528,3,0.42
Andhra Pradesh,Motorola,17144580,3,0.17
Andhra Pradesh,Apple,15737832,3,0.15
Andhra Pradesh,Huawei,14862968,3,0.14
Andhra Pradesh,OnePlus,14330236,3,0.14
Andhra Pradesh,Lenovo,8957696,3,0.09
Arunachal Pradesh,Vivo,2060944,3,0.02
Arunachal Pradesh,Xiaomi,2048196,3,0.02
Arunachal Pradesh,Samsung,1652164,3,0.02
Arunachal Pradesh,Oppo,1392416,3,0.01
Arunachal Pradesh,Realme,749044,3,0.01
Arunachal Pradesh,Others,495024,3,0.0
Arunachal Pradesh,Apple,172428,3,0.0
Arunachal Pradesh,OnePlus,96424,3,0.0
Arunachal Pradesh,Gionee,89120,3,0.0
Arunachal Pradesh,Huawei,84100,3,0.0
Arunachal Pradesh,Motorola,67132,2,0.0
Arunachal Pradesh,Infinix,9432,1,0.0
Assam,Xiaomi,30545412,3,0.3
Assam,Vivo,24839576,3,0.24
Assam,Samsung,17263100,3,0.17
Assam,Oppo,16829276,3,0.16
Assam,Realme,12160476,3,0.12
Assam,Others,11615908,3,0.11
Assam,Huawei,1807564,3,0.02
Assam,Motorola,1308136,2,0.01
Assam,Asus,1135676,2,0.01
Assam,Gionee,1119348,2,0.01
Assam,Apple,950700,2,0.01
Assam,Lenovo,512396,1,0.0
Assam,Tecno,409276,2,0.0
Assam,OnePlus,389396,2,0.0
Assam,Infinix,190356,1,0.0
Bihar,Xiaomi,142291428,3,1.39
Bihar,Samsung,96046376,3,0.94
Bihar,Vivo,77164412,3,0.75
Bihar,Oppo,61483840,3,0.6
Bihar,Realme,53208300,3,0.52
Bihar,Others,38739696,3,0.38
Bihar,Infinix,7568560,3,0.07
Bihar,Motorola,7348836,3,0.07
Bihar,Huawei,7328608,3,0.07
Bihar,Lenovo,4174912,2,0.04
Bihar,Tecno,3971980,2,0.04
Bihar,Apple,1210084,2,0.01
Bihar,HMD Global,812708,1,0.01
Bihar,Micromax,681776,1,0.01
Chandigarh,Xiaomi,3461664,3,0.03
Chandigarh,Samsung,2964356,3,0.03
Chandigarh,Vivo,2730576,3,0.03
Chandigarh,Oppo,2044008,3,0.02
Chandigarh,Apple,1214712,3,0.01
Chandigarh,Others,1078504,3,0.01
Chandigarh,Realme,670020,3,0.01
Chandigarh,OnePlus,420524,3,0.0
Chandigarh,Motorola,282488,3,0.0
Chandigarh,Huawei,200452,3,0.0
Chandigarh,HMD Global,140856,3,0.0
Chandigarh,Lenovo,15448,1,0.0
Chhattisgarh,Vivo,38429328,3,0.37
Chhattisgarh,Xiaomi,36830080,3,0.36
Chhattisgarh,Samsung,25682064,3,0.25
Chhattisgarh,Oppo,18505304,3,0.18
Chhattisgarh,Realme,13489456,3,0.13
Chhattisgarh,Others,11020924,3,0.11
Chhattisgarh,Micromax,10292928,3,0.1
Chhattisgarh,Apple,2418268,3,0.02
Chhattisgarh,OnePlus,2263372,3,0.02
Chhattisgarh,Motorola,1105580,2,0.01
Chhattisgarh,Infinix,559768,2,0.01
Chhattisgarh,Lenovo,509152,1,0.0
Chhattisgarh,Tecno,409688,2,0.0
Chhattisgarh,Huawei,277144,1,0.0
Dadra & Nagar Haveli & Daman & Diu,Vivo,2876984,3,0.03
Dadra & Nagar Haveli & Daman & Diu,Xiaomi,2601788,3,0.03
Dadra & Nagar Haveli & Daman & Diu,Samsung,1889692,3,0.02
Dadra & Nagar Haveli & Daman & Diu,Oppo,1440184,3,0.01
Dadra & Nagar Haveli & Daman & Diu,Realme,952848,3,0.01
Dadra & Nagar Haveli & Daman & Diu,Others,909340,3,0.01
Dadra & Nagar Haveli & Daman & Diu,Apple,214272,3,0.0
Dadra & Nagar Haveli & Daman & Diu,Motorola,166672,3,0.0
Dadra & Nagar Haveli & Daman & Diu,Huawei,125004,2,0.0
Dadra & Nagar Haveli & Daman & Diu,Tecno,116188,2,0.0
Dadra & Nagar Haveli & Daman & Diu,Lenovo,102888,2,0.0
Dadra & Nagar Haveli & Daman & Diu,OnePlus,91680,3,0.0
Dadra & Nagar Haveli & Daman & Diu,Infinix,70644,2,0.0
Delhi,Xiaomi,92775184,3,0.9
Delhi,Samsung,69450592,3,0.68
Delhi,Vivo,67457168,3,0.66
Delhi,Oppo,48246820,3,0.47
Delhi,Others,30122084,3,0.29
Delhi,Realme,20715832,3,0.2
Delhi,Apple,20582148,3,0.2
Delhi,OnePlus,10509984,3,0.1
Delhi,Motorola,8801968,3,0.09
Delhi,Huawei,5909820,3,0.06
Delhi,Lenovo,3157588,2,0.03
Delhi,Tecno,2125900,2,0.02
Goa,Xiaomi,5094480,3,0.05
Goa,Samsung,4261588,3,0.04
Goa,Vivo,3117528,3,0.03
Goa,Oppo,2150736,3,0.02
Goa,Others,1580416,3,0.02
Goa,Realme,1286876,3,0.01
Goa,Apple,958492,3,0.01
Goa,OnePlus,702088,3,0.01
Goa,Motorola,548320,3,0.01
Goa,Huawei,376520,3,0.0
Goa,Lenovo,186596,2,0.0
Goa,Tecno,110320,2,0.0
Gujarat,Vivo,127787772,3,1.25
Gujarat,Xiaomi,113642376,3,1.11
Gujarat,Samsung,104722752,3,1.02
Gujarat,Oppo,79333180,3,0.77
Gujarat,Others,29222108,3,0.28
Gujarat,Realme,27090748,3,0.26
Gujarat,Apple,18302704,3,0.18
Gujarat,OnePlus,10681000,3,0.1
Gujarat,Lenovo,7500644,3,0.07
Gujarat,Motorola,6063008,3,0.06
Gujarat,Huawei,3296800,2,0.03
Gujarat,Tecno,2288640,2,0.02
Haryana,Xiaomi,84350600,3,0.82
Haryana,Vivo,70793276,3,0.69
Haryana,Samsung,67297544,3,0.66
Haryana,Oppo,47817616,3,0.47
Haryana,Others,25523636,3,0.25
Haryana,Realme,22957096,3,0.22
Haryana,Apple,15070988,3,0.15
Haryana,OnePlus,6588616,3,0.06
Haryana,Motorola,5866588,3,0.06
Haryana,Huawei,5234436,3,0.05
Haryana,Tecno,2341304,2,0.02
Haryana,Lenovo,1748696,2,0.02
Himachal Pradesh,Xiaomi,17259308,3,0.17
Himachal Pradesh,Samsung,8614348,3,0.08
Himachal Pradesh,Vivo,8436012,3,0.08
Himachal Pradesh,Others,7356648,3,0.07
Himachal Pradesh,Oppo,7301080,3,0.07
Himachal Pradesh,Realme,4338116,3,0.04
Himachal Pradesh,Apple,1421552,3,0.01
Himachal Pradesh,Lava,1053832,3,0.01
Himachal Pradesh,Motorola,1044568,3,0.01
Himachal Pradesh,Gionee,455588,2,0.0
Himachal Pradesh,Tecno,369600,2,0.0
Himachal Pradesh,Huawei,368368,2,0.0
Himachal Pradesh,Micromax,337804,1,0.0
Himachal Pradesh,OnePlus,232176,2,0.0
Jammu & Kashmir,Xiaomi,14701484,3,0.14
Jammu & Kashmir,Samsung,8559908,3,0.08
Jammu & Kashmir,Vivo,6258724,3,0.06
Jammu & Kashmir,Oppo,4205416,3,0.04
Jammu & Kashmir,Realme,2477956,3,0.02
Jammu & Kashmir,Others,2450972,3,0.02
Jammu & Kashmir,Apple,1213560,3,0.01
Jammu & Kashmir,OnePlus,607340,3,0.01
Jammu & Kashmir,Motorola,446988,3,0.0
Jammu & Kashmir,Huawei,410972,3,0.0
Jammu & Kashmir,Lenovo,229156,2,0.0
Jammu & Kashmir,Tecno,83996,2,0.0
Jharkhand,Xiaomi,53488660,3,0.52
Jharkhand,Samsung,33538376,3,0.33
Jharkhand,Vivo,33152072,3,0.32
Jharkhand,Oppo,24259228,3,0.24
