state,device,total_users,engagement_share_pct,efficiency_classification,device_rank
Maharashtra,Apple,6043208,0.06,EXCELLENT_LEADER (>5M),1
Karnataka,Apple,4863248,0.05,STRONG_PERFORMER (1-5M),2
Telangana,Apple,3722552,0.04,STRONG_PERFORMER (1-5M),3
Uttar Pradesh,Apple,3102184,0.03,STRONG_PERFORMER (1-5M),4
Delhi,Apple,3044400,0.03,STRONG_PERFORMER (1-5M),5
Gujarat,Apple,2774016,0.03,STRONG_PERFORMER (1-5M),6
Tamil Nadu,Apple,2496452,0.02,STRONG_PERFORMER (1-5M),7
Andhra Pradesh,Apple,2376012,0.02,STRONG_PERFORMER (1-5M),8
Haryana,Apple,2312212,0.02,STRONG_PERFORMER (1-5M),9
Kerala,Apple,2201956,0.02,STRONG_PERFORMER (1-5M),10
Punjab,Apple,2163216,0.02,STRONG_PERFORMER (1-5M),11
Rajasthan,Apple,2043544,0.02,STRONG_PERFORMER (1-5M),12
Madhya Pradesh,Apple,1302236,0.01,STRONG_PERFORMER (1-5M),13
West Bengal,Apple,1111008,0.01,STRONG_PERFORMER (1-5M),14
Bihar,Apple,634000,0.01,MODERATE_GROWTH (100K-1M),15
Odisha,Apple,512276,0.0,MODERATE_GROWTH (100K-1M),16
Uttarakhand,Apple,414420,0.0,MODERATE_GROWTH (100K-1M),17
Chhattisgarh,Apple,386220,0.0,MODERATE_GROWTH (100K-1M),18
Jharkhand,Apple,341120,0.0,MODERATE_GROWTH (100K-1M),19
Assam,Apple,238484,0.0,MODERATE_GROWTH (100K-1M),20
Himachal Pradesh,Apple,219928,0.0,MODERATE_GROWTH (100K-1M),21
Jammu & Kashmir,Apple,198568,0.0,MODERATE_GROWTH (100K-1M),22
Chandigarh,Apple,180320,0.0,MODERATE_GROWTH (100K-1M),23
Goa,Apple,144940,0.0,MODERATE_GROWTH (100K-1M),24
Puducherry,Apple,66272,0.0,EMERGING_MARKET (<100K),25
Manipur,Apple,41024,0.0,EMERGING_MARKET (<100K),26
Dadra & Nagar Haveli & Daman & Diu,Apple,33200,0.0,EMERGING_MARKET (<100K),27
Arunachal Pradesh,Apple,28440,0.0,EMERGING_MARKET (<100K),28
Sikkim,Apple,28232,0.0,EMERGING_MARKET (<100K),29
Nagaland,Apple,22896,0.0,EMERGING_MARKET (<100K),30
Meghalaya,Apple,19932,0.0,EMERGING_MARKET (<100K),31
Mizoram,Apple,15212,0.0,EMERGING_MARKET (<100K),32
Ladakh,Apple,10620,0.0,EMERGING_MARKET (<100K),33
Andaman & Nicobar Islands,Apple,6536,0.0,EMERGING_MARKET (<100K),34
Lakshadweep,Apple,704,0.0,EMERGING_MARKET (<100K),35
West Bengal,Asus,1121388,0.01,STRONG_PERFORMER (1-5M),1
Tripura,Asus,29468,0.0,EMERGING_MARKET (<100K),2
Nagaland,Asus,13688,0.0,EMERGING_MARKET (<100K),3
Nagaland,Gionee,15388,0.0,EMERGING_MARKET (<100K),1
Arunachal Pradesh,Gionee,9928,0.0,EMERGING_MARKET (<100K),2
Mizoram,Gionee,6252,0.0,EMERGING_MARKET (<100K),3
Chandigarh,HMD Global,18116,0.0,EMERGING_MARKET (<100K),1
Manipur,HMD Global,10072,0.0,EMERGING_MARKET (<100K),2
Sikkim,HMD Global,9264,0.0,EMERGING_MARKET (<100K),3
Uttar Pradesh,Huawei,2106720,0.02,STRONG_PERFORMER (1-5M),1
Tamil Nadu,Huawei,1943584,0.02,STRONG_PERFORMER (1-5M),2
Maharashtra,Huawei,1664100,0.02,STRONG_PERFORMER (1-5M),3
Kerala,Huawei,1634212,0.02,STRONG_PERFORMER (1-5M),4
Andhra Pradesh,Huawei,1605908,0.02,STRONG_PERFORMER (1-5M),5
Karnataka,Huawei,1577880,0.02,STRONG_PERFORMER (1-5M),6
Telangana,Huawei,1378976,0.01,STRONG_PERFORMER (1-5M),7
Rajasthan,Huawei,1138552,0.01,STRONG_PERFORMER (1-5M),8
Bihar,Huawei,860016,0.01,MODERATE_GROWTH (100K-1M),9
Madhya Pradesh,Huawei,693188,0.01,MODERATE_GROWTH (100K-1M),10
Delhi,Huawei,657684,0.01,MODERATE_GROWTH (100K-1M),11
Haryana,Huawei,580196,0.01,MODERATE_GROWTH (100K-1M),12
Odisha,Huawei,561468,0.01,MODERATE_GROWTH (100K-1M),13
Punjab,Huawei,234604,0.0,MODERATE_GROWTH (100K-1M),14
Assam,Huawei,218344,0.0,MODERATE_GROWTH (100K-1M),15
Uttarakhand,Huawei,185572,0.0,MODERATE_GROWTH (100K-1M),16
Jammu & Kashmir,Huawei,50696,0.0,EMERGING_MARKET (<100K),17
Puducherry,Huawei,49912,0.0,EMERGING_MARKET (<100K),18
Goa,Huawei,43292,0.0,EMERGING_MARKET (<100K),19
Tripura,Huawei,26304,0.0,EMERGING_MARKET (<100K),20
Chandigarh,Huawei,23248,0.0,EMERGING_MARKET (<100K),21
Nagaland,Huawei,18728,0.0,EMERGING_MARKET (<100K),22
Manipur,Huawei,16376,0.0,EMERGING_MARKET (<100K),23
Meghalaya,Huawei,15788,0.0,EMERGING_MARKET (<100K),24
Arunachal Pradesh,Huawei,10060,0.0,EMERGING_MARKET (<100K),25
Mizoram,Huawei,7264,0.0,EMERGING_MARKET (<100K),26
Andaman & Nicobar Islands,Huawei,5764,0.0,EMERGING_MARKET (<100K),27
Ladakh,Huawei,3984,0.0,EMERGING_MARKET (<100K),28
Lakshadweep,Huawei,1588,0.0,EMERGING_MARKET (<100K),29
Uttar Pradesh,Infinix,2876192,0.03,STRONG_PERFORMER (1-5M),1
Bihar,Infinix,1548816,0.02,STRONG_PERFORMER (1-5M),2
West Bengal,Infinix,1138712,0.01,STRONG_PERFORMER (1-5M),3
Jharkhand,Infinix,334872,0.0,MODERATE_GROWTH (100K-1M),4
Chhattisgarh,Infinix,214004,0.0,MODERATE_GROWTH (100K-1M),5
Assam,Infinix,190356,0.0,MODERATE_GROWTH (100K-1M),6
Dadra & Nagar Haveli & Daman & Diu,Infinix,27636,0.0,EMERGING_MARKET (<100K),7
Tripura,Infinix,25428,0.0,EMERGING_MARKET (<100K),8
Nagaland,Infinix,14620,0.0,EMERGING_MARKET (<100K),9
Arunachal Pradesh,Infinix,9432,0.0,EMERGING_MARKET (<100K),10
Himachal Pradesh,Lava,125048,0.0,MODERATE_GROWTH (100K-1M),1
Tamil Nadu,Lenovo,1324608,0.01,STRONG_PERFORMER (1-5M),1
West Bengal,Lenovo,1320068,0.01,STRONG_PERFORMER (1-5M),2
Karnataka,Lenovo,1160552,0.01,STRONG_PERFORMER (1-5M),3
Andhra Pradesh,Lenovo,890344,0.01,MODERATE_GROWTH (100K-1M),4
Gujarat,Lenovo,813416,0.01,MODERATE_GROWTH (100K-1M),5
Telangana,Lenovo,733736,0.01,MODERATE_GROWTH (100K-1M),6
Odisha,Lenovo,565840,0.01,MODERATE_GROWTH (100K-1M),7
Kerala,Lenovo,499996,0.0,MODERATE_GROWTH (100K-1M),8
Puducherry,Lenovo,23820,0.0,EMERGING_MARKET (<100K),9
Ladakh,Lenovo,2008,0.0,EMERGING_MARKET (<100K),10
Lakshadweep,Lenovo,200,0.0,EMERGING_MARKET (<100K),11
Chhattisgarh,Micromax,1023812,0.01,STRONG_PERFORMER (1-5M),1
Meghalaya,Micromax,12556,0.0,EMERGING_MARKET (<100K),2
Maharashtra,Motorola,3152436,0.03,STRONG_PERFORMER (1-5M),1
Karnataka,Motorola,2383680,0.02,STRONG_PERFORMER (1-5M),2
Tamil Nadu,Motorola,1981588,0.02,STRONG_PERFORMER (1-5M),3
