state,year,quarter,insurance_type,quarterly_policies,quarterly_premium,avg_premium_per_policy,prev_quarter_policies,qoq_growth_rate
Andaman & Nicobar Islands,2024,4,TOTAL,1293,2026380.0,1567.19,1191.0,8.56
Andhra Pradesh,2024,4,TOTAL,61425,80028914.0,1302.87,48014.0,27.93
Arunachal Pradesh,2024,4,TOTAL,999,2359472.0,2361.83,842.0,18.65
Assam,2024,4,TOTAL,21805,35336229.0,1620.56,17633.0,23.66
Bihar,2024,4,TOTAL,62662,83739800.0,1336.37,44745.0,40.04
Chandigarh,2024,4,TOTAL,2095,3729932.0,1780.4,1991.0,5.22
Chhattisgarh,2024,4,TOTAL,22723,37421165.0,1646.84,16550.0,37.3
Dadra & Nagar Haveli & Daman & Diu,2024,4,TOTAL,1503,2292529.0,1525.3,1052.0,42.87
Delhi,2024,4,TOTAL,67962,94390728.0,1388.88,49150.0,38.27
Goa,2024,4,TOTAL,6662,9903374.0,1486.55,5354.0,24.43
Gujarat,2024,4,TOTAL,62526,91858105.0,1469.12,46763.0,33.71
Haryana,2024,4,TOTAL,58808,94316512.0,1603.8,49735.0,18.24
Himachal Pradesh,2024,4,TOTAL,6697,14090523.0,2104.01,5272.0,27.03
Jammu & Kashmir,2024,4,TOTAL,8893,18252110.0,2052.41,7597.0,17.06
Jharkhand,2024,4,TOTAL,29079,42253614.0,1453.06,23629.0,23.06
Karnataka,2024,4,TOTAL,183532,305861806.0,1666.53,174990.0,4.88
Kerala,2024,4,TOTAL,89533,144083113.0,1609.27,79123.0,13.16
Ladakh,2024,4,TOTAL,429,970334.0,2261.85,446.0,-3.81
Lakshadweep,2024,4,TOTAL,159,185542.0,1166.93,49.0,224.49
Madhya Pradesh,2024,4,TOTAL,59688,101096769.0,1693.75,43248.0,38.01
Maharashtra,2024,4,TOTAL,168078,266942711.0,1588.21,119776.0,40.33
Manipur,2024,4,TOTAL,405,826159.0,2039.9,285.0,42.11
Meghalaya,2024,4,TOTAL,1313,2493656.0,1899.2,1140.0,15.18
Mizoram,2024,4,TOTAL,489,811687.0,1659.89,186.0,162.9
Nagaland,2024,4,TOTAL,568,1168417.0,2057.07,410.0,38.54
Odisha,2024,4,TOTAL,33165,46973224.0,1416.35,26524.0,25.04
Puducherry,2024,4,TOTAL,2838,3896033.0,1372.81,2600.0,9.15
Punjab,2024,4,TOTAL,16279,31878987.0,1958.29,15509.0,4.96
Rajasthan,2024,4,TOTAL,73530,127930986.0,1739.85,64533.0,13.94
Sikkim,2024,4,TOTAL,599,1381680.0,2306.64,461.0,29.93
Tamil Nadu,2024,4,TOTAL,127002,173784251.0,1368.36,116867.0,8.67
Telangana,2024,4,TOTAL,78498,124755619.0,1589.28,64873.0,21.0
Tripura,2024,4,TOTAL,2794,3765732.0,1347.79,2516.0,11.05
Uttar Pradesh,2024,4,TOTAL,116589,199179867.0,1708.39,92930.0,25.46
Uttarakhand,2024,4,TOTAL,13090,23367549.0,1785.15,10487.0,24.82
West Bengal,2024,4,TOTAL,91719,120602777.0,1314.92,77158.0,18.87
Andaman & Nicobar Islands,2024,3,TOTAL,1191,1752800.0,1471.7,1097.0,8.57
Andhra Pradesh,2024,3,TOTAL,48014,73915199.0,1539.45,42547.0,12.85
Arunachal Pradesh,2024,3,TOTAL,842,1951385.0,2317.56,1147.0,-26.59
Assam,2024,3,TOTAL,17633,31388971.0,1780.13,22368.0,-21.17
Bihar,2024,3,TOTAL,44745,62777286.0,1403.0,49101.0,-8.87
Chandigarh,2024,3,TOTAL,1991,3445738.0,1730.66,1798.0,10.73
Chhattisgarh,2024,3,TOTAL,16550,27724060.0,1675.17,15724.0,5.25
Dadra & Nagar Haveli & Daman & Diu,2024,3,TOTAL,1052,1602869.0,1523.64,1008.0,4.37
Delhi,2024,3,TOTAL,49150,71139489.0,1447.4,46189.0,6.41
Goa,2024,3,TOTAL,5354,8051690.0,1503.86,5021.0,6.63
Gujarat,2024,3,TOTAL,46763,70950327.0,1517.23,44007.0,6.26
Haryana,2024,3,TOTAL,49735,79198642.0,1592.41,46085.0,7.92
Himachal Pradesh,2024,3,TOTAL,5272,10538999.0,1999.05,5194.0,1.5
Jammu & Kashmir,2024,3,TOTAL,7597,15554635.0,2047.47,7397.0,2.7
Jharkhand,2024,3,TOTAL,23629,34353146.0,1453.86,22224.0,6.32
Karnataka,2024,3,TOTAL,174990,287393291.0,1642.34,142599.0,22.71
Kerala,2024,3,TOTAL,79123,131721699.0,1664.77,65271.0,21.22
Ladakh,2024,3,TOTAL,446,978637.0,2194.25,415.0,7.47
Lakshadweep,2024,3,TOTAL,49,55312.0,1128.82,26.0,88.46
Madhya Pradesh,2024,3,TOTAL,43248,77995668.0,1803.45,41429.0,4.39
Maharashtra,2024,3,TOTAL,119776,201319952.0,1680.8,118933.0,0.71
Manipur,2024,3,TOTAL,285,587893.0,2062.78,346.0,-17.63
Meghalaya,2024,3,TOTAL,1140,2443878.0,2143.75,1235.0,-7.69
Mizoram,2024,3,TOTAL,186,275746.0,1482.51,214.0,-13.08
Nagaland,2024,3,TOTAL,410,820539.0,2001.31,418.0,-1.91
Odisha,2024,3,TOTAL,26524,40608651.0,1531.02,24579.0,7.91
Puducherry,2024,3,TOTAL,2600,3968523.0,1526.36,2304.0,12.85
