state,insurance_type,total_policies,total_premium,avg_premium,product_segment,state_revenue_share_pct
Andaman & Nicobar Islands,TOTAL,12997,19386792.0,1491.64,PREMIUM_BUDGET,0.1
Andhra Pradesh,TOTAL,697769,812222985.0,1164.03,PREMIUM_BUDGET,4.06
Arunachal Pradesh,TOTAL,10214,23420755.0,2293.01,PREMIUM_STANDARD,0.12
Assam,TOTAL,262818,411831038.0,1566.98,PREMIUM_STANDARD,2.06
Bihar,TOTAL,536592,671056815.0,1250.59,PREMIUM_BUDGET,3.35
Chandigarh,TOTAL,22079,33285885.0,1507.58,PREMIUM_STANDARD,0.17
Chhattisgarh,TOTAL,189517,274344886.0,1447.6,PREMIUM_BUDGET,1.37
Dadra & Nagar Haveli & Daman & Diu,TOTAL,13792,17992414.0,1304.55,PREMIUM_BUDGET,0.09
Delhi,TOTAL,652514,815365172.0,1249.57,PREMIUM_BUDGET,4.07
Goa,TOTAL,59872,83730005.0,1398.48,PREMIUM_BUDGET,0.42
Gujarat,TOTAL,562595,729233441.0,1296.2,PREMIUM_BUDGET,3.64
Haryana,TOTAL,573738,830981227.0,1448.36,PREMIUM_BUDGET,4.15
Himachal Pradesh,TOTAL,61790,117289072.0,1898.19,PREMIUM_STANDARD,0.59
Jammu & Kashmir,TOTAL,78375,153923112.0,1963.93,PREMIUM_STANDARD,0.77
Jharkhand,TOTAL,260827,348671355.0,1336.79,PREMIUM_BUDGET,1.74
Karnataka,TOTAL,1957404,2743154847.0,1401.42,PREMIUM_BUDGET,13.71
Kerala,TOTAL,824235,1313718507.0,1593.86,PREMIUM_STANDARD,6.56
Ladakh,TOTAL,3338,7808333.0,2339.22,PREMIUM_STANDARD,0.04
Lakshadweep,TOTAL,496,624037.0,1258.14,PREMIUM_BUDGET,0.0
Madhya Pradesh,TOTAL,487180,711153467.0,1459.73,PREMIUM_BUDGET,3.55
Maharashtra,TOTAL,1815539,2363128536.0,1301.61,PREMIUM_BUDGET,11.81
Manipur,TOTAL,3731,7150454.0,1916.5,PREMIUM_STANDARD,0.04
Meghalaya,TOTAL,10461,20357362.0,1946.02,PREMIUM_STANDARD,0.1
Mizoram,TOTAL,3724,5462592.0,1466.86,PREMIUM_BUDGET,0.03
Nagaland,TOTAL,4745,9156617.0,1929.74,PREMIUM_STANDARD,0.05
Odisha,TOTAL,318769,416559238.0,1306.77,PREMIUM_BUDGET,2.08
Puducherry,TOTAL,27940,37120853.0,1328.59,PREMIUM_BUDGET,0.19
Punjab,TOTAL,180011,313085772.0,1739.26,PREMIUM_STANDARD,1.56
Rajasthan,TOTAL,639684,959653860.0,1500.2,PREMIUM_STANDARD,4.79
Sikkim,TOTAL,4896,10883384.0,2222.91,PREMIUM_STANDARD,0.05
Tamil Nadu,TOTAL,1215269,1555507253.0,1279.97,PREMIUM_BUDGET,7.77
Telangana,TOTAL,894342,1171059515.0,1309.41,PREMIUM_BUDGET,5.85
Tripura,TOTAL,25192,33742456.0,1339.41,PREMIUM_BUDGET,0.17
Uttar Pradesh,TOTAL,1139153,1740346495.0,1527.75,PREMIUM_STANDARD,8.69
Uttarakhand,TOTAL,124374,200706613.0,1613.73,PREMIUM_STANDARD,1.0
West Bengal,TOTAL,839715,1052463239.0,1253.36,PREMIUM_BUDGET,5.26
