state,annual_transaction_value,annual_transaction_count,payment_categories,avg_transaction_size,revenue_market_share_pct,volume_market_share_pct,market_tier
Telangana,163216858203544.4,102668698336,1,1589.74,12.09,11.15,TIER1_ESTABLISHED
Karnataka,158853970198727.3,121042005604,1,1312.39,11.76,13.15,TIER1_ESTABLISHED
Maharashtra,157788080664554.9,125370728296,1,1258.57,11.68,13.62,TIER1_ESTABLISHED
Andhra Pradesh,136036868263029.3,74174949428,1,1834.0,10.07,8.06,TIER1_ESTABLISHED
Uttar Pradesh,105284777563394.25,72636007552,1,1449.48,7.8,7.89,TIER1_ESTABLISHED
Rajasthan,103338524637472.84,67237650020,1,1536.91,7.65,7.3,TIER1_ESTABLISHED
Madhya Pradesh,74975397216376.5,55260701000,1,1356.76,5.55,6.0,TIER1_ESTABLISHED
Bihar,70270488713281.21,43057932048,1,1632.0,5.2,4.68,TIER1_ESTABLISHED
West Bengal,60826244349527.81,35254349848,1,1725.35,4.5,3.83,TIER2_GROWTH
Odisha,47948343159364.96,34733610652,1,1380.46,3.55,3.77,TIER2_GROWTH
Tamil Nadu,46118549085838.0,30315929556,1,1521.26,3.41,3.29,TIER2_GROWTH
Delhi,44677466053804.11,32706494764,1,1366.01,3.31,3.55,TIER2_GROWTH
Gujarat,39636550848090.74,26209415200,1,1512.3,2.93,2.85,TIER2_GROWTH
Haryana,37547018348926.586,26400040436,1,1422.23,2.78,2.87,TIER2_GROWTH
Jharkhand,23195132821712.99,16778792440,1,1382.41,1.72,1.82,TIER2_GROWTH
Chhattisgarh,19167385247080.72,14695536920,1,1304.3,1.42,1.6,TIER3_EXPANSION_OPPORTUNITY
Assam,13601580449262.787,8923772176,1,1524.2,1.01,0.97,TIER3_EXPANSION_OPPORTUNITY
Kerala,11984246562064.014,9015342620,1,1329.32,0.89,0.98,TIER3_EXPANSION_OPPORTUNITY
Punjab,11490719234497.195,6878097008,1,1670.62,0.85,0.75,TIER3_EXPANSION_OPPORTUNITY
Uttarakhand,7459378502792.235,5708186916,1,1306.79,0.55,0.62,TIER3_EXPANSION_OPPORTUNITY
Jammu & Kashmir,4614805098656.511,3221407096,1,1432.54,0.34,0.35,TIER3_EXPANSION_OPPORTUNITY
Himachal Pradesh,2640998254010.8276,1946093816,1,1357.08,0.2,0.21,TIER3_EXPANSION_OPPORTUNITY
Goa,2001526043003.1216,1438339064,1,1391.55,0.15,0.16,TIER3_EXPANSION_OPPORTUNITY
Chandigarh,1101674558383.0833,782351564,1,1408.16,0.08,0.08,TIER3_EXPANSION_OPPORTUNITY
Arunachal Pradesh,1079368009970.0168,633893028,1,1702.76,0.08,0.07,TIER3_EXPANSION_OPPORTUNITY
Puducherry,921245763850.7059,652247756,1,1412.42,0.07,0.07,TIER3_EXPANSION_OPPORTUNITY
Dadra & Nagar Haveli & Daman & Diu,785119256141.5873,790457564,1,993.25,0.06,0.09,TIER3_EXPANSION_OPPORTUNITY
Tripura,781193179164.6906,468091972,1,1668.89,0.06,0.05,TIER3_EXPANSION_OPPORTUNITY
Manipur,725792906572.6752,285487984,1,2542.29,0.05,0.03,TIER3_EXPANSION_OPPORTUNITY
Meghalaya,638266333656.4387,348532044,1,1831.3,0.05,0.04,TIER3_EXPANSION_OPPORTUNITY
Nagaland,508199808286.4701,213960860,1,2375.2,0.04,0.02,TIER3_EXPANSION_OPPORTUNITY
Sikkim,459442889613.7242,254124464,1,1807.94,0.03,0.03,TIER3_EXPANSION_OPPORTUNITY
Ladakh,350588824819.9492,155890728,1,2248.94,0.03,0.02,TIER3_EXPANSION_OPPORTUNITY
Andaman & Nicobar Islands,280019649142.8222,158063304,1,1771.57,0.02,0.02,TIER3_EXPANSION_OPPORTUNITY
Mizoram,178210717360.09875,76105080,1,2341.64,0.01,0.01,TIER3_EXPANSION_OPPORTUNITY
Lakshadweep,6213807154.24656,3461852,1,1794.94,0.0,0.0,TIER3_EXPANSION_OPPORTUNITY
