state,transaction_type,revenue,volume,state_revenue_share_pct,avg_transaction_value,payment_rank_in_state
Andaman & Nicobar Islands,TOTAL,280019649142.8222,158063304,,1771.57,1
Andhra Pradesh,TOTAL,136036868263029.3,74174949428,,1834.0,1
Arunachal Pradesh,TOTAL,1079368009970.0168,633893028,,1702.76,1
Assam,TOTAL,13601580449262.787,8923772176,,1524.2,1
Bihar,TOTAL,70270488713281.21,43057932048,,1632.0,1
Chandigarh,TOTAL,1101674558383.0833,782351564,,1408.16,1
Chhattisgarh,TOTAL,19167385247080.72,14695536920,,1304.3,1
Dadra & Nagar Haveli & Daman & Diu,TOTAL,785119256141.5873,790457564,,993.25,1
Delhi,TOTAL,44677466053804.11,32706494764,,1366.01,1
Goa,TOTAL,2001526043003.1216,1438339064,,1391.55,1
Gujarat,TOTAL,39636550848090.74,26209415200,,1512.3,1
Haryana,TOTAL,37547018348926.586,26400040436,,1422.23,1
Himachal Pradesh,TOTAL,2640998254010.8276,1946093816,,1357.08,1
Jammu & Kashmir,TOTAL,4614805098656.511,3221407096,,1432.54,1
Jharkhand,TOTAL,23195132821712.99,16778792440,,1382.41,1
Karnataka,TOTAL,158853970198727.3,121042005604,,1312.39,1
Kerala,TOTAL,11984246562064.014,9015342620,,1329.32,1
Ladakh,TOTAL,350588824819.9492,155890728,,2248.94,1
Lakshadweep,TOTAL,6213807154.24656,3461852,,1794.94,1
Madhya Pradesh,TOTAL,74975397216376.5,55260701000,,1356.76,1
Maharashtra,TOTAL,157788080664554.9,125370728296,,1258.57,1
Manipur,TOTAL,725792906572.6752,285487984,,2542.29,1
Meghalaya,TOTAL,638266333656.4387,348532044,,1831.3,1
Mizoram,TOTAL,178210717360.09875,76105080,,2341.64,1
Nagaland,TOTAL,508199808286.4701,213960860,,2375.2,1
Odisha,TOTAL,47948343159364.96,34733610652,,1380.46,1
Puducherry,TOTAL,921245763850.7059,652247756,,1412.42,1
Punjab,TOTAL,11490719234497.195,6878097008,,1670.62,1
Rajasthan,TOTAL,103338524637472.84,67237650020,,1536.91,1
Sikkim,TOTAL,459442889613.7242,254124464,,1807.94,1
Tamil Nadu,TOTAL,46118549085838.0,30315929556,,1521.26,1
Telangana,TOTAL,163216858203544.4,102668698336,,1589.74,1
Tripura,TOTAL,781193179164.6906,468091972,,1668.89,1
Uttar Pradesh,TOTAL,105284777563394.25,72636007552,,1449.48,1
Uttarakhand,TOTAL,7459378502792.235,5708186916,,1306.79,1
West Bengal,TOTAL,60826244349527.81,35254349848,,1725.35,1
