state,baseline_users,current_users,annual_growth_rate,growth_tier
Mizoram,804180,433620,-46.08,TIER3_MODEST_GROWTH_0_20
Meghalaya,1786832,961072,-46.21,TIER3_MODEST_GROWTH_0_20
Arunachal Pradesh,2346316,1259776,-46.31,TIER3_MODEST_GROWTH_0_20
Nagaland,1937164,1039960,-46.32,TIER3_MODEST_GROWTH_0_20
Assam,31404148,16838364,-46.38,TIER3_MODEST_GROWTH_0_20
Ladakh,649644,348228,-46.4,TIER3_MODEST_GROWTH_0_20
Andaman & Nicobar Islands,536184,287120,-46.45,TIER3_MODEST_GROWTH_0_20
Rajasthan,164239780,87908808,-46.48,TIER3_MODEST_GROWTH_0_20
Manipur,2898272,1550984,-46.49,TIER3_MODEST_GROWTH_0_20
Madhya Pradesh,137982296,73824972,-46.5,TIER3_MODEST_GROWTH_0_20
Jammu & Kashmir,10896552,5827240,-46.52,TIER3_MODEST_GROWTH_0_20
Dadra & Nagar Haveli & Daman & Diu,2983864,1595852,-46.52,TIER3_MODEST_GROWTH_0_20
Uttar Pradesh,273927068,146470620,-46.53,TIER3_MODEST_GROWTH_0_20
Tripura,4087040,2185168,-46.53,TIER3_MODEST_GROWTH_0_20
Himachal Pradesh,15065736,8054988,-46.53,TIER3_MODEST_GROWTH_0_20
Jharkhand,49353296,26384784,-46.54,TIER3_MODEST_GROWTH_0_20
Bihar,129723784,69343924,-46.54,TIER3_MODEST_GROWTH_0_20
Punjab,51486012,27520412,-46.55,TIER3_MODEST_GROWTH_0_20
Gujarat,135741760,72556804,-46.55,TIER3_MODEST_GROWTH_0_20
Uttarakhand,25907804,13840060,-46.58,TIER3_MODEST_GROWTH_0_20
Haryana,90779572,48465756,-46.61,TIER3_MODEST_GROWTH_0_20
Sikkim,1479316,789628,-46.62,TIER3_MODEST_GROWTH_0_20
Odisha,85431152,45596940,-46.63,TIER3_MODEST_GROWTH_0_20
Tamil Nadu,153198512,81732568,-46.65,TIER3_MODEST_GROWTH_0_20
Lakshadweep,42268,22552,-46.65,TIER3_MODEST_GROWTH_0_20
Chhattisgarh,41726048,22261924,-46.65,TIER3_MODEST_GROWTH_0_20
Maharashtra,341220668,181930024,-46.68,TIER3_MODEST_GROWTH_0_20
West Bengal,154914344,82578108,-46.69,TIER3_MODEST_GROWTH_0_20
Karnataka,221184724,117838584,-46.72,TIER3_MODEST_GROWTH_0_20
Puducherry,3177320,1692668,-46.73,TIER3_MODEST_GROWTH_0_20
Goa,5234652,2788712,-46.73,TIER3_MODEST_GROWTH_0_20
Kerala,63636968,33895240,-46.74,TIER3_MODEST_GROWTH_0_20
Delhi,96025628,51140508,-46.74,TIER3_MODEST_GROWTH_0_20
Chandigarh,3846188,2048368,-46.74,TIER3_MODEST_GROWTH_0_20
Andhra Pradesh,168886736,89956116,-46.74,TIER3_MODEST_GROWTH_0_20
Telangana,157198724,83670596,-46.77,TIER3_MODEST_GROWTH_0_20
