state,total_users,years_active,quarters_active,avg_quarterly_users,peak_users,minimum_users,lifetime_growth_pct,market_segment
Maharashtra,1335236828,3,4,3371810.0,11340940,338054,3254.77,SEGMENT_A_MAJOR_MARKETS (>5M)
Uttar Pradesh,1062500892,3,4,2683083.0,9273651,254946,3537.5,SEGMENT_A_MAJOR_MARKETS (>5M)
Karnataka,866724596,3,4,2188698.0,7620184,290138,2526.4,SEGMENT_A_MAJOR_MARKETS (>5M)
Andhra Pradesh,662008884,3,4,1671740.0,5743382,222586,2480.3,SEGMENT_A_MAJOR_MARKETS (>5M)
Rajasthan,638087028,3,4,1611331.0,6252325,156126,3904.67,SEGMENT_A_MAJOR_MARKETS (>5M)
Telangana,617372872,3,4,1559022.0,5509008,183434,2903.26,SEGMENT_A_MAJOR_MARKETS (>5M)
West Bengal,607878692,3,4,1535047.0,5586240,174080,3109.01,SEGMENT_A_MAJOR_MARKETS (>5M)
Tamil Nadu,590755772,3,4,1491808.0,4978558,293970,1593.56,SEGMENT_A_MAJOR_MARKETS (>5M)
Madhya Pradesh,535723800,3,4,1352838.0,4678482,133926,3393.33,SEGMENT_A_MAJOR_MARKETS (>5M)
Gujarat,529931732,3,4,1338211.0,4996272,119412,4084.06,SEGMENT_A_MAJOR_MARKETS (>5M)
Bihar,502031516,3,4,1267756.0,4888198,81035,5932.21,SEGMENT_A_MAJOR_MARKETS (>5M)
Delhi,379855088,3,4,959230.0,3155264,124278,2438.88,SEGMENT_A_MAJOR_MARKETS (>5M)
Haryana,355590396,3,4,897956.0,2837979,80705,3416.48,SEGMENT_A_MAJOR_MARKETS (>5M)
Odisha,334849332,3,4,845579.0,3238439,75301,4200.66,SEGMENT_A_MAJOR_MARKETS (>5M)
Kerala,242100756,3,4,611366.0,2098370,96507,2074.32,SEGMENT_A_MAJOR_MARKETS (>5M)
Punjab,199920400,3,4,504849.0,1619926,28708,5542.77,SEGMENT_A_MAJOR_MARKETS (>5M)
Jharkhand,191593036,3,4,483821.0,1869656,37894,4833.91,SEGMENT_A_MAJOR_MARKETS (>5M)
Chhattisgarh,161793056,3,4,408568.0,1531319,29426,5103.97,SEGMENT_A_MAJOR_MARKETS (>5M)
Assam,121076596,3,4,305749.0,1094829,28782,3703.87,SEGMENT_A_MAJOR_MARKETS (>5M)
Uttarakhand,100913480,3,4,254832.0,807803,28932,2692.07,SEGMENT_A_MAJOR_MARKETS (>5M)
Himachal Pradesh,58589000,3,4,147952.0,615419,18646,3200.54,SEGMENT_A_MAJOR_MARKETS (>5M)
Jammu & Kashmir,41646472,3,4,105168.0,535687,7362,7176.38,SEGMENT_A_MAJOR_MARKETS (>5M)
Goa,20373960,3,4,51449.0,181266,7167,2429.18,SEGMENT_A_MAJOR_MARKETS (>5M)
Tripura,15890412,3,4,40127.0,143599,4634,2998.81,SEGMENT_A_MAJOR_MARKETS (>5M)
Chandigarh,15223608,3,4,38443.0,118077,3862,2957.41,SEGMENT_A_MAJOR_MARKETS (>5M)
Puducherry,12301496,3,4,31064.0,100081,5654,1670.09,SEGMENT_A_MAJOR_MARKETS (>5M)
Dadra & Nagar Haveli & Daman & Diu,11558184,3,4,29187.0,111699,2682,4064.77,SEGMENT_A_MAJOR_MARKETS (>5M)
Manipur,10998708,3,4,27775.0,193373,1609,11918.21,SEGMENT_A_MAJOR_MARKETS (>5M)
Arunachal Pradesh,8916424,3,4,22516.0,78763,1696,4544.04,SEGMENT_A_MAJOR_MARKETS (>5M)
Nagaland,7248228,3,4,18304.0,86500,1753,4834.4,SEGMENT_A_MAJOR_MARKETS (>5M)
Meghalaya,6799760,3,4,17171.0,60423,2050,2847.46,SEGMENT_A_MAJOR_MARKETS (>5M)
Sikkim,5726148,3,4,14460.0,61996,1394,4347.35,SEGMENT_A_MAJOR_MARKETS (>5M)
Mizoram,3007072,3,4,7594.0,35679,543,6470.72,SEGMENT_B_GROWTH_MARKETS (1-5M)
Ladakh,2519216,3,4,6362.0,24460,449,5347.66,SEGMENT_B_GROWTH_MARKETS (1-5M)
Andaman & Nicobar Islands,1958848,3,4,4947.0,18688,500,3637.6,SEGMENT_B_GROWTH_MARKETS (1-5M)
Lakshadweep,160680,3,4,406.0,1441,38,3692.11,SEGMENT_C_EMERGING (100K-1M)
